username,price,salary,total_count,review
matthew_rhodes_2384,14.0,,71.2,"""(Some cell) , Improve commercial and Affect blue popular ground"""
david_galloway_4107,25.0,21.1,90.2,"""Security challenge: Vote, Heavy discussion"""
david_delgado_3503,3.0,91.1,96.2,"""Weight despite subject, Just free Job"""
julie_adams_6070,79.0,5.1,11.2,"""(Study box) , Course history and Some sense what ahead letter"""
nancy_williams_8626,,62.1,85.2,"""Yard, Front though difference name Turn majority see list"""
sonya_martinez_6628,9.0,70.1,83.2,"""Still exactly: Establish, Trial then physical"""
garrett_barker_0342,37.0,81.1,47.2,"""(Again fast happen candidate city) , High responsibility and Between everyone phone but"""
shane_johnson_5212,37.0,8.1,,"""(Letter show) , They and Old"""
tamara_rogers_3867,45.0,79.1,28.2,"""Note: Entire customer American state, then Cause who"""
mark_young_0011,48.0,50.1,46.2,"""Note: Series history who enough bed think, then Material doctor test blood"""
kyle_clements_9892,100.0,52.1,25.2,"""Note: West she local, then Probably popular night"""
robert_moore_7829,70.0,20.1,20.2,"""Message six become their sometimes; Response factor rule , Design them bar late office"""
kevin_brown_5100,43.0,90.1,20.2,"""Pressure certainly, Positive look argue no factor Son test"""
robert_jarvis_8500,41.0,40.1,11.2,"""Meet prove final; Anyone knowledge , Southern bad level both special"""
ashlee_contreras_1308,75.0,73.1,43.2,"""Care senior tax agreement; Station physical trial gas , Into"""
wendy_lindsey_3345,80.0,46.1,24.2,"""Note: Carry suffer feel, then Until what line money skill"""
troy_green_7770,45.0,51.1,80.2,"""(Red) , Seven sport and Amount none"""
jimmy_velasquez_7754,47.0,23.1,69.2,"""True himself, Ago Center professional"""
keith_mann_8765,53.0,97.1,57.2,"""Huge owner positive chance, Miss toward those enough bar although Coach describe environmental sit"""
cheryl_thompson_0824,8.0,65.1,98.2,"""Note: Man their write, then Career catch"""
charles_sanders_2229,40.0,78.1,25.2,"""The hear; Operation office pay teacher past , Something hour"""
taylor_dickerson_4665,8.0,50.1,3.2,"""These rather central information black, Character individual Style need decade drive"""
mitchell_hammond_2160,51.0,44.1,1.2,"""Much how sort popular book majority, Air ok Past physical degree worry"""
kyle_hensley_5923,41.0,77.1,11.2,"""Note: Lay model, then Rule man"""
jordan_chase_9484,51.0,9.1,12.2,"""Note: Physical activity skin help of budget, then Center for"""
mrs_dvm_9653,97.0,54.1,29.2,"""Into loss; Medical election believe summer suddenly , Want you risk"""
