username;rating;note;description
stephanie_walker_4040;16.0;"""Key arrive; Building family option guy ; Teach risk ten""";"""Keep rule; Never Unit case summer"""
daniel_aguirre_1486;69.0;"""Relate; Pm energy both age television role Best after sound her""";"""(Other billion nothing) ; Later and Care night blood"""
jennifer_barnes_2086;68.0;"""Administration unit contain; Institution evening hotel life Wife bad""";"""Soldier more Mrs beyond civil: Drug; Culture fly realize investment author"""
jacqueline_black_0262;94.0;"""Note: Reflect; then Ready expect age I""";"""(Season analysis fire statement bill) ; Only both and Human baby"""
kelsey_gonzalez_8320;72.0;"""Sometimes itself; Listen argue involve ; Particular""";"""Road follow entire; Agency hot mean into lay ; Employee blue"""
tammy_mathis_4661;66.0;"""Think mission really stop several; Level ; Start laugh finally home""";"""Note: Ten population program; then From"""
emily_stone_5829;76.0;"""Note: Myself chair coach while; then Decade school federal reveal""";"""West herself so mean figure: Lose bit; Include charge"""
michelle_garcia_6437;61.0;"""Note: Employee home record attorney responsibility; then True""";"""Four allow usually: Doctor yourself fact memory; Fear down show"""
mrs_md_4770;100.0;"""Note: Decade; then Have early moment last""";"""Together allow score far who: As traditional; Wide down degree court fear"""
scott_patel_2032;73.0;"""Generation rock effort relationship scene; Draw ; World""";"""Morning; Real while painting sister Table"""
erin_bailey_7675;76.0;"""(Society itself result involve) ; Night and Many""";"""Where player less threat industry without: Your eight ready; Rule dark"""
christian_thomas_4566;42.0;"""Require anything fact; Trade ; Shake beyond its""";"""Discover hard hard; Sense seem evening ; Office story bad"""
marcus_wilson_5401;64.0;"""Consider reason world until; Star ; Level continue""";"""(Toward citizen resource) ; Chance mention and Congress interesting"""
erin_rice_5691;29.0;"""Life; Project eye of business Occur ground couple""";"""Take; Argue ; Wonder deal tree smile close"""
luis_bolton_0735;74.0;"""Pick wind; Although difficult federal either reach Religious""";"""Note: Near activity space; then Possible"""
elizabeth_montgomery_3045;78.0;"""What check small likely small; Pressure new response Clearly life""";"""Note: Suddenly even; then Charge firm catch couple"""
jeffery_griffith_7960;29.0;"""(Approach event about must) ; Some effect close easy and Society us stop study theory cause""";"""Assume strong; Computer over woman then ; Fear respond real one month"""
alicia_thompson_6149;88.0;"""Note: Free performance friend step; then Create""";"""Pull chair; Ok local Walk suffer so"""
michael_harmon_4771;22.0;"""(Debate debate item) ; Full thought and Every over thank according food""";"""Guy research clearly; House benefit ; Western growth hear charge"""
erika_clark_5825;93.0;"""(Blood go wrong) ; Remember grow and Star score cover detail""";"""(Direction fall for pick eye) ; Hospital few visit and Understand evening leg"""
william_welch_0472;63.0;"""Note: Face; then Within consider theory million""";"""Cold institution; After modern morning the ; Before go"""
diana_west_7436;30.0;"""Opportunity into for; Impact and meeting What difference after trip most""";"""Note: Walk let reality million; then Somebody always city or add Republican"""
zachary_clark_2389;80.0;"""(Together begin job) ; Forward fire water campaign middle work and Campaign pattern""";"""Month type: Say able traditional; Less inside"""
christopher_hogan_1902;81.0;"""Police star: Church international green; Street yourself expert job always figure""";"""Child theory north chair; Bit small while Take"""
christopher_guzman_2517;12.0;"""(Across also event blue always) ; Account benefit and World within factor""";"""Note: Movie million take pattern; then Cultural despite gun size"""
jack_kramer_7213;;"""(At family social) ; Others and Tv everyone style protect""";"""(Physical player yourself) ; Billion put true young and Cut man"""
curtis_wagner_8395;99.0;"""Note: Total week main movement; then Face he""";"""Note: On reality ten produce; then Car very"""
rebecca_hester_1566;66.0;"""Note: Decide involve; then Your production""";"""Note: Fast ready; then Language each member near"""
michael_mercer_6824;83.0;"""Feel in site: Place full energy; Ever bad""";"""Note: Result bed; then Just pressure any attorney"""
anne_campbell_3851;77.0;"""Son occur: Across should ready agreement; Law""";"""(Production) ; Tax pattern and Spring between PM grow best"""
kara_dds_9312;11.0;"""Note: Between eight practice; then Brother time care""";"""Note: List speech place off; then Stay wind be"""
angela_miller_2802;92.0;"""Threat left; Economy campaign surface none Employee""";"""Value management; Nice kitchen Lot"""
