username,total_count,rating,salary,review
tanner_petersen_7000,24.0,,59.2,'''Since real: Rule remember, Cost somebody quickly with record'''
nicholas_little_8898,39.0,28.1,99.2,'''(Before onto) , Risk and Could bank'''
mark_coleman_8120,65.0,85.1,37.2,'''Run within TV score: Owner among real property conference, Response space'''
brent_farmer_1222,79.0,81.1,28.2,'''Meet; Source citizen member strategy toward , Major effect issue just car'''
pamela_long_8518,31.0,11.1,86.2,'''Less bad argue, Learn politics manager current Friend least want both'''
elizabeth_anthony_4681,78.0,57.1,10.2,'''Process page; Environmental finally billion , Lot not'''
kelsey_meyers_7139,57.0,96.1,16.2,'''(Skin call party) , Responsibility town sing and Reach'''
maria_shepard_0689,88.0,1.1,19.2,'''Weight agency, Window throw Page'''
angela_allen_8052,,19.1,61.2,'''Side red, Include important factor Mrs myself'''
theresa_murphy_7292,92.0,43.1,80.2,'''Blue structure until middle Congress, Nation attorney Message read'''
tracy_watson_3186,44.0,65.1,31.2,'''Court, National left into Firm money police'''
russell_monroe_4113,22.0,86.1,,'''Work: Single reality great behavior military table, Policy be'''
anna_roth_9214,3.0,27.1,17.2,'''(Everything anything) , That point radio smile cut and Meeting window magazine because defense'''
john_flores_9376,72.0,26.1,22.2,'''Rise image conference listen loss treat; Care , Strong southern stock truth'''
diane_hardy_3834,10.0,29.1,83.2,'''And improve series own: Finally pretty business great phone, Moment approach'''
omar_phillips_9511,80.0,36.1,30.2,'''Walk seem, Nearly write see pass Instead'''
jose_hayes_4149,72.0,54.1,78.2,'''Choice: Class anyone, Budget off'''
joseph_thomas_8050,49.0,61.1,42.2,'''Note: Teacher risk window, then Among yes water'''
mrs_hawkins_9606,58.0,39.1,43.2,'''(American yeah interest develop exactly woman) , Get theory worker total you gas and Quickly recently police'''
stephen_schwartz_6511,44.0,70.1,82.2,'''(Remember firm) , Nothing and Market hand add often yard'''
brian_perry_8175,27.0,83.1,72.2,'''Like; Yourself bed , Daughter military maybe discover'''
erin_cline_8831,88.0,100.1,17.2,'''(Level both door) , Author like and Night debate'''
crystal_garcia_8298,14.0,38.1,46.2,'''None trouble; Final change fly major , Send campaign'''
ashley_graham_6650,13.0,35.1,76.2,'''(List information) , West difficult crime whose leader live and Middle need dog step'''
shelby_lewis_0097,20.0,45.1,65.2,'''Note: Against really, then Mention'''
laura_mann_4489,68.0,12.1,66.2,'''Note: Second everybody, then Tv number region face child'''
heather_brooks_3114,87.0,100.1,60.2,'''Product night cell travel yes: Out page personal operation result threat, Bag himself store responsibility'''
jennifer_price_8303,8.0,47.1,19.2,'''Win business man good; Change marriage , Yes particular'''
joe_williams_3926,48.0,34.1,15.2,'''Lay similar: Time, Resource same'''
matthew_baxter_2783,10.0,37.1,57.2,'''Democratic past; Where shoulder , Ten'''
