username	age	total_count	note
philip_brown_7308	57.0	15.1	"""(Pariatur eaque mollitia) 	 Harum mollitia vel and Consequatur amet ex deserunt"""
dr_kent_5338	12.0		"""Note: Distinctio tempora blanditiis	 then Aliquid repellat veniam dolores"""
dr_clark_6098	85.0	1.1	"""(Nam amet odio eum) 	 Repudiandae culpa and Distinctio esse recusandae in sit dignissimos"""
miss_flynn_8518	21.0	94.1	"""Porro; Cumque nisi excepturi consectetur 	 Dolorum fugit quia"""
stuart_wright_2460	93.0	82.1	"""Facilis minima; Aspernatur architecto 	 Labore"""
mr_smith_2149	9.0	39.1	"""(Expedita ullam) 	 Aperiam doloremque tempora and Officiis et"""
joshua_west_1446	71.0	4.1	"""Cumque reiciendis odio delectus architecto; Quaerat laboriosam 	 Totam laudantium aperiam"""
emily_edwards_9424	67.0	42.1	"""Fugit nesciunt repudiandae facilis: Temporibus exercitationem	 Quia"""
ms_bibi_5953	45.0	65.1	"""Qui fugit	 Numquam quo Nemo asperiores iusto"""
dr_knowles_5131	45.0	97.1	"""Exercitationem sed voluptates	 Voluptates quia fuga Enim quos"""
mr_williams_4486		64.1	"""Note: Cum tenetur inventore ipsam alias	 then Culpa esse recusandae nobis esse doloremque"""
wendy_jones_2637	13.0	52.1	"""Porro saepe repellendus: Unde accusamus sit	 Non voluptate numquam"""
philip_hall_1378	2.0	5.1	"""Note: Commodi qui	 then Voluptate architecto expedita sint"""
miss_phillips_0280	83.0	91.1	"""Aliquid laborum maiores; Cupiditate dolorem placeat quaerat dolorem nam 	 Quos qui impedit"""
ms_barton_5550	76.0	37.1	"""At natus quaerat voluptatibus accusamus ex: Molestias repudiandae tenetur	 Praesentium voluptas"""
adrian_davies_1510	74.0	3.1	"""(Rem odio amet atque aut) 	 Sit neque and Nisi ex porro ipsum"""
christine_davies_2181	11.0	22.1	"""Note: Temporibus tenetur doloremque	 then Dolorem aspernatur aspernatur provident"""
mr_reed_8888	81.0	11.1	"""Aspernatur sit vel	 Officiis labore praesentium sint error nostrum Ex magni"""
dale_graham_8593	58.0	68.1	"""Note: Harum quos nostrum blanditiis	 then Ullam eius"""
ms_harris_0348	43.0	44.1	"""Molestiae fuga: Cumque id	 Voluptatem"""
dr_humphreys_8219	77.0	40.1	"""Note: Fugiat fugiat reiciendis quae	 then Nesciunt excepturi inventore sapiente debitis"""
mr_johnson_8214	32.0	72.1	"""Fugit vitae et illum: Autem consequatur	 Recusandae possimus id"""
mrs_thomas_5532	100.0	99.1	"""Atque	 Ratione nemo aut Quod placeat veniam minus assumenda nisi quis"""
kate_mcdonald_4890	53.0	49.1	"""Note: Illo mollitia	 then Consectetur labore repellendus"""
richard_porter_5119	41.0	73.1	"""(Atque nisi modi) 	 Magnam sint ipsa nemo and Laborum nisi fugiat quaerat quis facere"""
fiona_hayward_1276	35.0	10.1	"""Voluptates necessitatibus repudiandae magnam nisi	 Aliquam repellendus Facilis vel neque et blanditiis"""
mr_chapman_5776	79.0	76.1	"""Molestiae occaecati	 Accusantium inventore repellat Non placeat id"""
angela_yates_8139	77.0	30.1	"""Note: Omnis	 then Pariatur dicta nobis ratione itaque"""
karl_daniels_0952	19.0	56.1	"""Eius rem aspernatur: Ea magnam beatae	 Sit voluptas cum asperiores"""
benjamin_moss_9548	16.0	21.1	"""Doloribus aliquid eaque: Laboriosam corrupti libero	 Non"""
christian_pearson_9704	60.0	52.1	"""Note: Quisquam	 then Tenetur ad"""
lucy_scott_2500	37.0	5.1	"""(In eaque qui) 	 Cum libero and Provident minus"""
kayleigh_dale_0833	43.0	24.1	"""Consequatur id asperiores possimus; Cumque laborum 	 Aliquam iusto quos quo magnam"""
ryan_singh_6421	7.0	80.1	"""(Repudiandae necessitatibus) 	 Atque officia and Excepturi neque"""
lorraine_fuller_8453	4.0	41.1	"""Voluptate sapiente magnam; Voluptates debitis mollitia atque cum possimus quibusdam 	 Magni unde rerum facere mollitia doloribus"""
dr_foster_3856	6.0	33.1	"""Saepe aliquam aperiam inventore vitae vitae odit	 Eos veritatis nostrum est blanditiis molestiae Explicabo"""
dr_thomson_1104	13.0	19.1	"""Laborum: Debitis omnis quod	 Voluptatum cum"""
julie_lloyd_9006	57.0	86.1	"""Molestiae dolorum tempora tenetur incidunt	 Esse ab iusto Alias velit voluptatibus provident nobis"""
sian_banks_2757	98.0	99.1	"""Eos sit et; Dolore eligendi 	 Fugit dignissimos error ea quod"""
glenn_curtis_2226	41.0	72.1	"""(Voluptatem quos) 	 Libero qui and Magnam animi ut repudiandae officia dolor"""
mr_kay_0212	86.0	34.1	"""Ab debitis nisi; Dolores vel dolorum 	 Occaecati cupiditate"""
dr_armstrong_2083	98.0	35.1	"""Optio nam; Libero porro 	 Quae"""
rosemary_cooke_1316	64.0	94.1	"""Nihil numquam est sed; Magni natus dolor accusantium culpa 	 Amet"""
martin_foster_1712	63.0	92.1	"""Ut error consequatur; Corporis 	 Dolore doloremque saepe officia"""
joshua_roberts_8473	86.0	100.1	"""(Praesentium sequi ad voluptatibus perferendis) 	 Ea quae ad vel esse porro and Consequatur tenetur deleniti"""
