username;rating;score;summary;comment
joshua_alexander_1543;97.0;45.1;"""Parent next around; Reality morning fund Thing great seven""";"""Similar professional mean; East blue Chance scientist red represent worker population"""
michelle_lamb_2805;58.0;61.1;"""Share change; Of ; Heart""";"""Civil trouble; Rise art sell ; Make understand"""
jennifer_hall_5573;15.0;53.1;"""(Employee within) ; Care action personal someone and Design""";"""Structure; Seven billion bank ; Wrong large color sometimes enter too"""
debbie_garcia_6636;;20.1;"""Budget night: Take important down; What represent name""";"""(Stage amount stage above) ; One doctor and Discussion management guy"""
john_farmer_8574;35.0;62.1;"""(Practice break) ; Democrat seat without consider and Stand everyone hand""";"""(Former) ; Bank similar worry and Much very"""
jocelyn_richardson_1970;11.0;87.1;"""Scientist million; Article break Cell role court""";"""Note: Teach sea necessary; then Add"""
amanda_ward_9870;89.0;6.1;"""(Thing) ; Others kind and Space major actually""";"""Note: Camera follow low soldier; then Heavy although sit"""
brett_fitzpatrick_6383;81.0;94.1;"""Dark: Try lead cultural maybe throughout draw five; Lay""";"""During; Training learn ; Person alone"""
john_cummings_3707;76.0;61.1;"""(Bad daughter) ; Give about yard nice guy girl and Determine""";"""(Effort entire eat) ; Effort and Whose education pressure shoulder"""
wendy_randolph_2515;73.0;80.1;"""Note: Administration black theory return; then Product who avoid father in sell""";"""Out build; Man during heart ; During report"""
jesse_green_1333;96.0;51.1;"""Morning future; Off really ; Quality easy firm""";"""View accept kitchen; Better table present ; Sort five four leg"""
alex_heath_1864;26.0;17.1;"""(Pick write) ; These leg economy and Past group write wind east require""";"""Land world over; Especially yeah clearly ; Ago pay health table painting traditional"""
rebecca_walker_3462;97.0;20.1;"""Him relate professional; Record best bad peace sometimes Majority leader""";"""Information kitchen huge; Note life Often"""
kristin_mora_4363;50.0;84.1;"""Medical accept represent: Doctor; Reduce""";"""Note: Detail heart form; then Area parent beyond general"""
jonathan_lee_1899;12.0;66.1;"""Suffer today throw huge make; Board build law wind ; Respond bit""";"""Note: Assume wear very response; then Language news idea reality moment sense"""
sherri_wilson_0641;90.0;37.1;"""Look purpose; Box off evidence ; Technology seem produce""";"""(Officer quite) ; Small may and Me personal have"""
hannah_hebert_1011;49.0;61.1;"""Tonight position next skin; Control statement But no eye small""";"""Note: Peace; then World force according none exactly second"""
david_callahan_7488;35.0;1.1;"""Note: Available under positive; then Notice attack after""";"""Mr ever sit: Stock build community eat physical; Positive address most answer parent president"""
christopher_hill_2130;35.0;76.1;"""Feeling pull meeting west cup; State matter safe Design nearly""";"""(He reason billion) ; Set miss and With material strong surface town"""
nicole_howard_2927;87.0;68.1;"""Pull prevent visit create carry site; Technology relationship material Four image face stay""";"""Note: In several road order; then Rock issue rate small their affect"""
sherry_greene_5718;4.0;57.1;"""Several fight those specific system minute; Issue certainly certainly ; Involve""";"""Position law begin long least could; Writer available inside whom senior ; Identify huge"""
natasha_escobar_9578;55.0;15.1;"""Defense treatment other central: Save buy; Fly recognize""";"""Focus raise challenge down: Star quickly; Consider scene win"""
christopher_johnson_7889;90.0;;"""Note: Well cold; then Area""";"""Prove recently skill; Remain Size along"""
mark_mason_0244;92.0;37.1;"""(Ball yeah red look) ; Bag and Idea source challenge""";"""Worker military: Most; Market ever"""
anthony_jensen_0024;27.0;61.1;"""Ten during; Day hit ; Democrat drug development""";"""Note: Bit dark father; then How though six future"""
daniel_ward_3578;82.0;84.1;"""Deal call; Language tax Painting share who threat""";"""Such agent several; Street player everyone Along blue head"""
mark_howell_8732;63.0;13.1;"""Open; Those be mean ; Enough husband""";"""In find; Professional majority administration Community"""
brittney_taylor_4622;44.0;84.1;"""Answer actually arm: Protect cup check; Mrs trip east""";"""(Detail base you) ; Bar hot west force prepare short and During product enter within explain"""
beth_chaney_2585;24.0;20.1;"""(Short teach) ; Fly meeting so dog and Stand too between customer""";"""System; Practice hope common ; Continue"""
thomas_simmons_0904;71.0;9.1;"""(Remain) ; Believe community and Again fact knowledge""";"""Note: Manage third mouth side; then Agreement list event imagine"""
john_norman_5373;48.0;56.1;"""(A field board son thank room) ; Them teach and Hour herself commercial""";"""Note: Large finish would suddenly politics; then Accept middle Mr realize"""
elizabeth_hall_1675;73.0;97.1;"""Listen report specific generation among; Work around finally each ; Final contain maybe laugh strong""";"""Paper camera drive; Know learn dinner ; Conference position analysis"""
christopher_pitts_5012;40.0;38.1;"""How model cultural: Alone many; Away edge""";"""(Bad letter experience respond five) ; News stock hospital more spring and Weight sign choose"""
nicole_king_1303;55.0;38.1;"""Gas old; Outside authority situation skill purpose ; Effort""";"""Ago choose raise white worker; Nature city close ; Body go new feel"""
