username;rating;total_count;price;note;remark
parker_frye_5500;88.0;64.1;55.2;'''Note: Agree section service five fly force; then Kitchen any security shake decade''';'''Note: Within trouble again street be; then Significant join but argue Mr'''
michael_mora_5678;73.0;16.1;13.2;'''Next study; Stay hospital ; Glass mother''';'''Think; Although Provide arrive culture and address'''
shannon_jackson_8761;92.0;26.1;24.2;'''Note: Water organization; then Ability seek''';'''Note: Anything run; then At across officer'''
courtney_hunt_5433;98.0;82.1;81.2;'''Security present; Stage alone draw name ; Fish television hundred need''';'''Five fall check strong: Inside nature theory too point; We each'''
jacob_silva_4110;25.0;14.1;26.2;'''(Stage example) ; Short institution and Stop second''';'''Admit difficult; Hair After offer news'''
madeline_collins_6498;41.0;47.1;75.2;'''Note: Control single; then Alone foreign''';'''Mission great: Investment capital first live; Forget him focus piece significant star'''
maria_glenn_8187;48.0;;41.2;'''(Large similar save expert themselves create) ; Behind town great discussion energy raise and Herself maybe above recent''';'''Note: Hit situation computer no; then Home recently true'''
dr_santiago_5091;90.0;16.1;11.2;'''Stuff: War; Mean understand treatment himself newspaper require''';'''Everyone by contain maybe prove: Human himself expert; Simply let establish memory'''
jennifer_hudson_4031;49.0;61.1;29.2;'''Idea media kitchen; After bad gun Arm physical''';'''Will but decision once; Dark few ; Budget morning fill artist'''
richard_smith_6421;40.0;36.1;92.2;'''Particularly; Phone Fish resource television''';'''(Ahead memory in girl) ; Nation those establish and Reflect bring indeed data ten'''
philip_mitchell_4986;69.0;23.1;66.2;'''City within; Reveal morning Enjoy cold yet give''';'''Where blue; Answer common maintain ; Quite number'''
katrina_walker_9645;47.0;43.1;80.2;'''Current measure town direction race: Fast serve; Special since black four company concern better''';'''Win center safe: Media onto; Entire speech successful'''
mary_riley_7097;71.0;84.1;40.2;'''(Us computer understand ball last development) ; Positive exactly and Research of positive base west lead''';'''Note: Focus trouble number understand water; then Another response whole she culture'''
angie_hoover_9632;81.0;60.1;53.2;'''Note: Popular positive; then In local feeling''';'''(Sound inside long season institution question) ; Past Democrat and Technology employee'''
wesley_edwards_9745;88.0;93.1;95.2;'''(Huge hotel fast concern hit) ; Real and Pm gas''';'''(Have after enough politics) ; Identify firm and Use better over'''
stephanie_davis_4409;;34.1;61.2;'''Next very like: Difference pay tell; Hold morning''';'''Exactly; College growth recent business baby Central yet mean'''
kelly_wright_0074;37.0;9.1;85.2;'''Age media care certain: Culture adult; Relationship beautiful class billion''';'''Analysis Republican; End measure herself ; Bit'''
robert_blanchard_7363;19.0;81.1;41.2;'''Note: A help pick million; then Enjoy''';'''(Central box) ; Themselves human during and Happy couple'''
richard_english_8011;67.0;26.1;68.2;'''News indicate record same exactly offer; State condition you That other future everybody mouth''';'''Contain; Day painting senior ; Wide find first'''
philip_ruiz_7867;81.0;36.1;84.2;'''Involve field series require; Trial require direction ; Quite if push note''';'''Red will; Most newspaper Congress improve several stay guess'''
matthew_johnson_8535;83.0;53.1;18.2;'''Note: Thus; then Travel deep fill admit''';'''Section site public; Hour husband well over wish movie ; Most everything'''
jonathan_martinez_1960;46.0;1.1;17.2;'''(Quality best despite) ; Why mother and Seven eat politics politics other computer''';'''Study evidence concern; Seven author ; Wall'''
john_nguyen_4898;6.0;25.1;61.2;'''Around kind appear; Relationship ability professor face His determine husband''';'''Plant treatment increase item give car; Way husband ; Necessary recently religious thousand'''
paula_graham_3098;59.0;60.1;;'''Wrong concern between plant recently official; Run end Daughter''';'''Day involve little; Which let those Fine hit land'''
miranda_williams_1714;94.0;61.1;30.2;'''Back development develop; Indeed two cold bar experience thank Analysis act me''';'''Able food memory card; Real thought issue ; Control human soldier remain perhaps'''
stacy_nichols_1285;62.0;99.1;16.2;'''Wind hit with development Republican still: Spring difference; High environmental ground opportunity guy simply''';'''Force: Assume treat movie important; Edge project'''
donna_gonzalez_7092;8.0;75.1;14.2;'''Think federal station political star worker; Long very deep ; Continue amount along movie''';'''(Talk vote cover) ; Order effort amount analysis and Against hear director bank compare'''
phillip_thomas_6190;4.0;19.1;61.2;'''Country whole; Office hundred focus Authority mention''';'''Great instead church agent shake; Sort part surface Leave no bad language'''
caroline_valencia_4166;92.0;27.1;15.2;'''Pass tonight: Total; Respond of writer mind science meet''';'''Speak large production game any see: Defense real pattern; Remember stand'''
travis_osborne_9794;35.0;5.1;98.2;'''Law; Old talk almost beautiful image any Growth''';'''Note: And modern; then Check argue indeed four short'''
