username,total_count,salary,rating,remark
jessica_duffy_8156,12.0,64.1,76.2,"""Quidem neque harum aliquam: Sunt fugit corrupti, Illo velit ipsum vitae esse"""
hugh_wright_8971,5.0,46.1,95.2,"""Debitis quo autem architecto: Velit odit, Quidem architecto repellendus"""
beverley_porter_7582,67.0,1.1,24.2,"""Note: Ex aut, then Ipsa quasi quo"""
dr_mclean_4155,35.0,97.1,23.2,"""Vero veniam sit; Quisquam , Quis"""
mrs_davis_4009,94.0,,74.2,"""Repellendus veniam esse, Quod Cupiditate veniam alias"""
rhys_ali_5581,80.0,44.1,92.2,"""Note: Voluptates architecto quibusdam, then Nostrum fuga"""
lynn_spencer_5228,41.0,39.1,86.2,"""Note: Corrupti ratione voluptates, then Delectus in nisi quisquam"""
christine_singh_4518,53.0,100.1,78.2,"""Note: Nisi nobis neque debitis nulla, then Officiis maxime eveniet incidunt"""
dr_pearson_6789,40.0,17.1,98.2,"""(Quam illum atque) , Assumenda necessitatibus and Molestias odit"""
mr_martin_8181,80.0,79.1,68.2,"""Quos error officiis velit consequatur: Vero illum mollitia, Corporis blanditiis laboriosam aut optio"""
mrs_robertson_3318,51.0,94.1,37.2,"""Dolor corporis, Consequuntur similique harum Minima iusto iusto"""
bradley_roberts_5805,20.0,89.1,31.2,"""Note: Odio porro possimus neque velit, then Vero asperiores neque quis similique tempora"""
mrs_woods_2211,,61.1,5.2,"""Corporis commodi occaecati ipsum, Nesciunt itaque Inventore illum quae aliquam debitis"""
karen_wheeler_3603,51.0,21.1,9.2,"""(Doloremque labore et assumenda dolorum) , Debitis totam and Doloribus unde aut consequuntur sapiente perferendis"""
lynda_wheeler_4804,73.0,85.1,37.2,"""Amet expedita totam: Beatae provident sequi dignissimos accusamus qui, Qui praesentium laboriosam"""
dr_begum_3721,67.0,82.1,34.2,"""Reiciendis quo reprehenderit recusandae: Optio perferendis, Iure odio consequatur sunt dignissimos ut"""
edward_cooper_9331,3.0,70.1,84.2,"""Esse minima ullam deserunt hic, Doloremque quisquam Fugit"""
dale_cook_2140,29.0,52.1,76.2,"""Sed non culpa, Eum minus Sequi"""
joan_carter_0887,48.0,82.1,100.2,"""Incidunt autem rerum: Consequuntur doloremque ex neque corporis fugiat, Quo"""
bradley_evans_2120,60.0,85.1,98.2,"""Beatae doloremque asperiores, Placeat quibusdam Ipsa reprehenderit quo esse veritatis laudantium"""
mr_gray_6872,51.0,5.1,56.2,"""(Aperiam ad) , Officia similique modi aperiam expedita and Iure voluptatem optio"""
hannah_parker_8394,20.0,77.1,66.2,"""Vero quae; Eligendi maxime sed , Nam corporis voluptatum eos"""
marian_cooper_9297,89.0,50.1,,"""Note: Quisquam distinctio, then Sequi mollitia dolorem reprehenderit"""
miss_osborne_5115,8.0,40.1,30.2,"""Quia reprehenderit reiciendis: Voluptates odio eligendi adipisci, Dolorem voluptates aliquid"""
philip_smith_4889,88.0,31.1,53.2,"""Note: Ipsam quo, then Tempora"""
