username;price;score;message;summary
kristen_murphy_7936;79.0;96.1;"""Nice report; Try avoid Present benefit night part""";"""Pressure effect total order plan design: Accept early; Career bring"""
adam_phd_1627;10.0;55.1;"""(Attack commercial hope toward rise group) ; Kind already poor before fly and Oil not call later""";"""(One sing evening toward) ; Social economic and Someone physical"""
cindy_curry_2926;85.0;45.1;"""Answer rather small; Bag Agency child decision simple""";"""Rise long pull: At similar; Event"""
dr_cole_2949;;81.1;"""Note: Me network; then Actually media remain""";"""Our at writer feel; Present others Well popular personal pull kind"""
patrick_smith_3646;22.0;12.1;"""Note: Its property; then Human more whose""";"""Short term; Collection example treatment Person goal available improve"""
karina_burns_8203;49.0;11.1;"""Note: Take eye time wife himself after; then Sell""";"""Reality study agent serve have: Class appear likely allow; Technology industry environmental kind"""
nicholas_frank_3549;11.0;7.1;"""Performance property reality car: Later central sit; Never live true health Congress yet""";"""Court machine area answer; Detail billion end Each claim"""
leslie_torres_6467;3.0;;"""Our response project; Major under big check dinner ; Hundred again wonder""";"""Character name; Win college Single they school thousand wonder decade"""
karen_cox_1415;47.0;10.1;"""Note: Clearly realize; then Certain""";"""Note: Include place culture hundred; then Stock direction mouth"""
robert_jackson_1583;93.0;82.1;"""Leave think world floor same picture: Their arm; Affect allow""";"""(Expect field) ; Yet everything and Charge assume imagine send nation"""
brittany_stout_7140;32.0;90.1;"""Child all thousand: Television system couple every may; Everything each he idea admit""";"""Note: Tv partner color brother; then Concern glass serious"""
tony_garcia_8994;98.0;47.1;"""Note; Issue ; Season improve already""";"""Model baby; Focus medical sit finally Though approach"""
jacob_brady_6512;62.0;65.1;"""Citizen range fast; Education Condition sound summer""";"""Forget soldier: Reveal; Window population"""
adrian_clark_3080;18.0;9.1;"""Note: Choice third; then Simply""";"""Mind wait: Lose way theory image; Second"""
sara_carr_9318;51.0;6.1;"""Vote adult sometimes like kid: Magazine every; Call body risk effect add""";"""(Case very) ; National understand opportunity front head in and Cost give that past these economy"""
andrea_edwards_3137;7.0;67.1;"""Prepare: Some pull consumer; Have""";"""Factor similar: Change short oil; Thing describe soldier election"""
scott_medina_4129;62.0;46.1;"""Toward; Produce since majority ; Personal""";"""Reason there last; Author audience community trip evidence ; Those least significant fall election"""
reginald_rogers_8689;56.0;13.1;"""Cup actually employee room; Later white certainly ; Phone bad thank""";"""Degree able choice either can prevent; Capital view answer speak Worry blood experience"""
david_hartman_5643;79.0;40.1;"""Effect; East certainly letter Person term provide""";"""Speak professional; Fear Fill put"""
jennifer_carlson_4209;11.0;31.1;"""Reach down build effect; Send home interview Article from between music rest yes""";"""(Mother task sing) ; Issue admit and Note rule particular"""
karen_murray_1080;63.0;65.1;"""Oil keep usually; Operation issue mean front near ; Health difference affect another""";"""(Within choice nothing population up) ; Wife soldier morning until look business and Physical"""
ethan_henderson_3760;60.0;61.1;"""Hit quickly: Baby some theory center piece employee; Think rather camera""";"""Note: Reason in; then Special"""
chad_white_6046;69.0;73.1;"""Region; Stock beyond art ; Board it""";"""However else none mother choose interesting; Unit remember near ; Environmental against"""
allen_hampton_6437;63.0;56.1;"""Note: Recent to himself; then Coach believe father us""";"""Physical lose: Bag where; Ok together series fill"""
nicholas_young_9376;47.0;50.1;"""Nor approach best number; Create meeting ; Material""";"""Note: Term; then Air message"""
amy_ortega_3964;47.0;90.1;"""(Main begin) ; Baby little and View well""";"""Must car either; Everything really Different this world"""
derrick_cole_8769;15.0;70.1;"""(Wrong under change seat) ; Itself case understand bill interest strategy and Keep next choose material""";"""Consumer base; Sing however in ; These agree"""
jordan_benjamin_2580;18.0;46.1;"""Affect cause person; Education boy oil change ; Size together""";"""Open see star line focus; Not point theory young Industry"""
april_tanner_4430;59.0;83.1;"""Really health; Some affect lawyer ready Western shake thousand""";"""Board idea yet: Sister any those; By free"""
jeffrey_stokes_9043;29.0;83.1;"""Note: Letter; then Kind suggest difficult keep""";"""Challenge walk; Although style ; Color debate as energy least"""
robin_vega_0570;96.0;49.1;"""(Too go) ; Course green what foreign call father and Point understand reach tell compare""";"""Two western firm there teach fight: Its; Become course place film court law"""
antonio_sullivan_6573;79.0;34.1;"""(Family truth work trial) ; Rock and Three who""";"""Now security political participant; Article ; Positive peace education"""
carol_wilson_5520;63.0;23.1;"""Hour past threat present; Answer reason blood thank ; Take treat our something month""";"""Kind control field treatment all type loss; Marriage always Vote want around"""
terry_thompson_8626;65.0;62.1;"""Few forward phone: Pull parent; Surface recently see rise arrive man""";"""(Gas really) ; West several financial and All foreign crime keep"""
michael_owens_8883;88.0;23.1;"""Support ball traditional team cost: Garden much; Tree use consumer""";"""Note: Wish trial customer prove; then Take individual kitchen challenge"""
joshua_nguyen_8764;59.0;14.1;"""(Power year since production daughter) ; Idea leave and Trouble today""";"""Note: Challenge; then Culture face"""
wesley_cortez_1204;48.0;22.1;"""How TV: Take apply home represent; Heavy middle want thousand""";"""Cost college term check; Project manage cup ; Size employee project"""
marcus_evans_5347;14.0;1.1;"""Word sort; Character state even Young effort hair order significant""";"""Woman marriage fact allow among remember: Shake; Trip mother first"""
allison_gross_1666;13.0;54.1;"""(Affect stay during) ; Stock task present and Cell trade""";"""Least street; Enjoy Produce back want also dinner"""
kathryn_rogers_8544;33.0;81.1;"""True shake require tough notice; Sea ; Action spring also hit""";"""(Six threat mission) ; Safe rich theory and Wall property"""
robert_peterson_9142;100.0;1.1;"""Within especially; Them walk past listen never Deep information care picture""";"""(East listen) ; Team throughout and Future land word quality my"""
frank_white_2329;92.0;38.1;"""Money; Clear Figure collection happen point""";"""Note: Foreign; then Popular"""
anna_austin_0367;70.0;39.1;"""Note: Opportunity technology eye; then Money""";"""Central strong reflect them; Executive family indicate simply where Finish government tend purpose certainly"""
judith_fisher_3608;26.0;4.1;"""(Safe spring) ; Power and Thought often total""";"""Without street; Particularly same coach remember Finish positive yet director while"""
peter_aguilar_9991;53.0;97.1;"""Parent summer goal; Card care quite ; Far environmental act work boy cultural""";"""Note: Unit any information their; then Six teacher have into"""
daniel_mcgee_0658;95.0;87.1;"""Note: Perhaps; then Perhaps""";"""School true most her including grow; Particular wear admit Including radio never movement beautiful"""
brittany_mitchell_5793;30.0;76.1;"""Table sign: Under feeling; Paper control""";"""Court action; General concern ; Lay consumer"""
