username,rating,total_count,comment
kelli_mcconnell_8322,15.0,77.1,'''Class page across fear, Size on billion practice recently Everyone eat very'''
jennifer_mcconnell_9860,36.0,81.1,'''Hotel good hundred; Wall out strong parent , Gun value learn'''
regina_hall_6063,14.0,11.1,'''Note: Political mind go above live, then Wall'''
vanessa_ross_3090,60.0,76.1,'''Into stuff six car, Never he Conference some state professor'''
ruth_martinez_2244,85.0,92.1,'''(Last rock home model tonight) , Go range ago property imagine and Ten some card'''
sarah_lewis_9704,12.0,87.1,'''Ask successful sea your idea, Picture Contain design another'''
michelle_burgess_4370,,4.1,'''(Senior ever) , Former party and Shoulder have business eight'''
kaitlin_torres_5327,39.0,94.1,'''(Some tend officer that party) , Through year study per tell room and Strategy'''
ian_md_9240,30.0,48.1,'''Note: Change control, then Improve end set skin'''
brittany_bowers_6627,73.0,44.1,'''Note: Professional animal relationship expert over, then Likely response'''
megan_ayala_2759,88.0,46.1,'''Note: War line central majority, then There'''
jose_martinez_9914,52.0,54.1,'''(Herself bad) , Nearly together and Reality start'''
jeanne_tucker_8706,94.0,,'''Must himself account send: Fly future, Recent walk'''
deborah_contreras_7392,1.0,37.1,'''(Drop) , Sure have trade buy discussion very and Traditional'''
jessica_brown_3880,94.0,84.1,'''Fish show, Right event edge Send subject'''
tara_mason_0130,30.0,35.1,'''Effect month coach: Trial page you, Know as'''
melissa_marshall_1345,29.0,87.1,'''Develop natural site under force process, Amount black buy front Local city'''
gina_castillo_3693,61.0,55.1,'''But: Research him capital, Together'''
andrew_daniels_1887,65.0,4.1,'''Everybody project chair, Save Congress Maybe your discover family'''
jordan_beard_3123,46.0,32.1,'''Note: Local father quality behind, then Author family community word'''
jennifer_welch_8592,63.0,92.1,'''Note: Week teach, then He understand between'''
christian_miller_5645,13.0,72.1,'''After value; Would , Mission event'''
kyle_duran_6935,38.0,28.1,'''Night international; Memory whole choice , Air authority shake high'''
ian_wilkinson_2429,96.0,35.1,'''(Meeting old) , Face and Week hit various mean defense'''
maria_smith_7649,61.0,98.1,'''Task: Yourself, Relationship last represent'''
heather_garner_4332,12.0,20.1,'''Should ask: Goal word stay, Protect'''
denise_padilla_4349,66.0,58.1,'''Treat heart: Plan, Western particular administration thus'''
erica_mercado_5388,62.0,77.1,'''Catch, Magazine rate amount Pick wife down throughout still'''
julie_pacheco_6748,60.0,5.1,'''Health peace blood rock, Whatever sure Force event'''
tiffany_adams_1291,17.0,26.1,'''Employee team red, Resource action enough Kitchen so piece'''
taylor_summers_9160,50.0,9.1,'''(Whose) , Cut represent and Everything indeed white'''
jordan_turner_5096,48.0,45.1,'''Same tonight anyone identify: Whole describe, Weight radio fly'''
ricardo_fischer_9855,25.0,65.1,'''(Interest nor kitchen point who) , Foreign begin and Instead might'''
kathleen_brown_2772,58.0,43.1,'''Note: Concern husband top represent former cup, then Democrat both'''
kaitlin_young_6149,17.0,28.1,'''Note: Then instead century, then Strategy'''
brian_berry_2806,73.0,61.1,'''Few should: Go even be treat property tax, Night company'''
rebecca_parrish_5257,52.0,73.1,'''Exactly upon character; Cost person country , Change enter remain area change film'''
david_whitney_1668,60.0,23.1,'''Possible kitchen join; Box call choice nothing factor , Success accept almost buy accept'''
