username;price;total_count;remark
peter_heath_3153;94.0;7.1;'''Note: Culpa modi; then Iste cum autem cupiditate'''
mr_dale_5532;81.0;39.1;'''Note: Beatae fugit ratione omnis; then Animi debitis'''
miss_sanderson_1544;15.0;85.1;'''Iusto sapiente tempora: Explicabo iusto amet eos; Voluptatibus consequuntur vel inventore'''
iain_davies_9243;19.0;3.1;'''Deserunt aut vel maiores alias eius; Excepturi Ullam blanditiis consequuntur'''
jeremy_jackson_8494;32.0;65.1;'''Note: Iste asperiores; then Unde laboriosam aut atque'''
caroline_peters_6210;55.0;35.1;'''Note: Nam ab rem; then Quibusdam recusandae'''
jodie_evans_4587;14.0;1.1;'''A similique ipsa: Autem aliquam; Assumenda quo eaque laborum'''
dr_dixon_8213;62.0;85.1;'''Note: Esse; then Voluptates numquam'''
geraldine_bennett_9477;85.0;28.1;'''Eos officia; Impedit iste dolorum magni nesciunt ; Rem tempore facere quis'''
miss_smith_0187;75.0;20.1;'''Consequatur; Consequuntur voluptates Repellat optio'''
glenn_bennett_9350;52.0;20.1;'''Voluptatum pariatur; Ad occaecati soluta voluptatum Aperiam exercitationem necessitatibus'''
albert_carroll_8239;16.0;4.1;'''At; Neque in adipisci ; Qui voluptates voluptates'''
sophie_robertson_8880;11.0;34.1;'''Note: Nostrum assumenda sunt esse; then Deleniti non voluptas'''
mr_fisher_1314;75.0;51.1;'''(Tempora inventore) ; Temporibus and Quisquam aliquid quo'''
dr_goodwin_6152;48.0;15.1;'''Dolorum id odit error rem dignissimos; Amet ; Quia recusandae quisquam voluptas'''
diana_grant_9523;75.0;77.1;'''Ad quisquam; Ullam natus voluptates eligendi Distinctio'''
miss_davidson_9940;42.0;6.1;'''Quam pariatur commodi commodi commodi; Sed sint Sunt impedit iure'''
mr_rogers_8104;80.0;65.1;'''Note: Quod consectetur illo; then Esse voluptatum eaque sequi'''
mr_lewis_4850;75.0;21.1;'''Note: Perspiciatis inventore cupiditate eius mollitia adipisci; then Consequuntur vitae'''
phillip_carr_3176;74.0;51.1;'''(Voluptatum ex) ; Pariatur magnam and Magni odit ea quas iste'''
robin_williams_4434;79.0;12.1;'''Sunt soluta; Assumenda assumenda unde tempore voluptatibus esse ; Sequi tenetur illo a'''
deborah_carpenter_0019;15.0;50.1;'''Molestiae; Culpa Consequatur earum necessitatibus'''
irene_foster_3252;37.0;10.1;'''Suscipit tenetur veniam aut; Magnam eaque sapiente voluptates cupiditate ; Molestiae accusantium animi'''
abdul_jenkins_6362;7.0;;'''Est praesentium: Quibusdam velit occaecati at culpa; Rerum dolorem necessitatibus'''
mr_willis_6829;76.0;3.1;'''(Ipsam nisi in similique totam accusantium) ; Eum eveniet dolorem in and Nemo'''
craig_adams_5424;32.0;9.1;'''(Expedita fugiat) ; Rem accusantium soluta and Porro deleniti laborum totam at quo iure'''
hugh_scott_0353;60.0;7.1;'''(Molestiae aliquam ea dignissimos provident rem) ; Dolor and Quos iusto ab'''
elizabeth_lee_5740;88.0;22.1;'''Vitae harum: Accusamus voluptas exercitationem porro; Cum nemo vitae cupiditate'''
mrs_donnelly_6580;93.0;39.1;'''Cum debitis accusantium corrupti; Minima ; Sint qui'''
clare_james_3958;1.0;72.1;'''Note: Architecto nisi; then Adipisci repellendus'''
howard_norman_8712;81.0;14.1;'''Mollitia cum minima eius; Vel nisi Praesentium explicabo nesciunt'''
dr_coleman_5037;5.0;62.1;'''Note: Sapiente; then Vero'''
vanessa_mccarthy_6979;;37.1;'''(Libero fugit) ; Vitae placeat and Aut'''
