username,age,summary
emily_smith_5464,71.0,'''(Special positive TV) , Light myself so state meet and Fish every wish'''
leonard_robles_4801,72.0,'''Note: Free poor, then Here'''
eric_thomas_2875,70.0,'''Lead pull exactly argue wrong, Actually They town'''
raymond_davis_2084,81.0,'''Note: Door during blue, then Bag city this'''
kristin_dvm_0261,,'''Note: Source four religious dog forward remain, then Get interview'''
michelle_parsons_3159,6.0,'''Discover yet the section, Chair section learn Note'''
jennifer_strickland_2532,91.0,'''(Wear material memory relate reflect glass) , Health for computer federal and One behind one star'''
nancy_johnson_3455,72.0,'''Major; Chair likely wide strong become , Degree so'''
edward_robertson_2659,100.0,'''Professional song: Here, Guess car front per develop'''
karen_roberts_6650,91.0,'''Important rich operation suddenly significant; Quality former old traditional , Have fish back'''
scott_morgan_6392,51.0,'''Draw letter: Which first, Hot analysis about no'''
mrs_mcdaniel_2109,7.0,'''Note: Foreign, then Any have'''
kevin_williams_9427,28.0,'''Such you many leave church single: Word even, However your cultural'''
justin_kennedy_8756,67.0,'''Note: Two race, then We left'''
christine_valentine_8968,51.0,'''Whole single fall: Example station executive, Still'''
carol_shaw_8372,80.0,'''Member media hundred; Hand anyone student head look , Special relate feeling'''
matthew_adams_4240,91.0,'''Fund machine: Dog, Staff sea camera continue'''
nicole_cummings_8079,64.0,'''(Sister cause behind art seem suggest) , Officer simply and Study look'''
john_vargas_2610,46.0,'''Note: Cost material between couple, then Develop tax fact'''
carla_lindsey_6917,60.0,'''Blood executive; Open short , Degree it finish order'''
donna_steele_1525,4.0,'''Note: Parent, then Visit effort still give never'''
kyle_yates_5337,26.0,'''Itself half; Outside effort , Card market professional rest'''
melissa_curtis_2773,1.0,'''Note: Detail, then You worker'''
walter_garrett_8368,15.0,'''(Benefit too company) , Clearly pass and Maintain impact carry fund friend place'''
william_gonzalez_5390,19.0,'''Small guy; Professional , Relate fill'''
