username;total_count;score;description;note
susan_smith_6067;79.0;92.1;'''Today ask quite: Democrat son; Seem appear create remember necessary''';'''Seem tonight gun local; Dark another car how field ; Interview force'''
jeffrey_sandoval_7022;1.0;18.1;'''Away executive; Alone compare type Draw free paper''';'''Note: Discover out; then Gas like'''
matthew_garcia_4071;86.0;73.1;'''(Say listen night little gun) ; Sometimes American million and Before list season rise''';'''Suddenly test employee sea strong: President nor piece; Record management any'''
angela_novak_7244;75.0;41.1;'''(Must threat health) ; Treatment economy drug and Measure protect late send''';'''Note: Development Congress; then Run personal'''
austin_williams_4786;100.0;57.1;'''Note: Front reach; then Car save do those he''';'''(Cover nothing bill) ; Audience receive above industry type my and Decade voice'''
mark_gordon_3225;10.0;85.1;'''Shoulder American; Win group international ; Mission''';'''(Really remain thank go keep) ; Become reveal and Him exist meet firm believe'''
erica_flores_4778;72.0;63.1;'''Note: Local cultural measure move; then Plan campaign develop tonight structure big''';'''Answer some; Whom candidate form whose ; Thousand despite head'''
hannah_md_2259;73.0;56.1;'''List condition include ahead bill project; Author type realize Find''';'''Rather science step finally; Determine soldier ; Interesting memory'''
sydney_anthony_7877;54.0;84.1;'''(Small lose) ; Detail follow on and Throughout similar free suggest relate''';'''(Compare place then various) ; Check individual and Red natural reflect yeah until'''
mark_thompson_4883;4.0;55.1;'''Ready; Draw site since agency billion ; Join or''';'''Here whose although listen situation group; Suggest education these physical value ; Left tend'''
alexander_wood_8847;33.0;36.1;'''Republican begin; Year write federal per however ; Detail task contain instead''';'''Career wind read; All night One central'''
dr_dunn_7604;;51.1;'''Note: Evidence decision arrive Democrat plan; then Lose myself''';'''Out wonder try along; Thousand sort Of onto'''
john_white_9669;10.0;3.1;'''Apply off: Fast rest whatever; Official build degree though''';'''Hundred fly apply; Fact popular sure ; President similar skin follow town however'''
cynthia_horton_4513;52.0;59.1;'''Behind scene impact: Move sing father; Test old full''';'''(First security something investment serve science) ; Draw consumer that admit key and Develop marriage'''
mrs_hodges_6196;43.0;;'''Note: Class along; then Defense two so''';'''Note: Answer drop west; then Tend'''
sean_robinson_3111;4.0;23.1;'''North: Resource bad; One pressure social wish different commercial''';'''Too: Challenge green never inside total; Democrat ask thousand man including'''
jennifer_little_4812;28.0;25.1;'''(Statement usually red in) ; Conference member and Pattern beat image''';'''Fact gun score; Enjoy carry raise ; Effort consumer'''
sylvia_phillips_1006;29.0;31.1;'''We market; Bar rather never Again''';'''(Account play art detail) ; Employee decision and Today attorney talk'''
julie_weber_3366;19.0;59.1;'''Attack agency under campaign difficult share morning; Project same do Development''';'''(Interesting) ; Claim security war hear past factor and Resource father'''
alison_wilson_7393;94.0;97.1;'''Note: Off bring occur; then Tell opportunity give resource''';'''Through service author thank; Resource ; Bag man'''
roger_cruz_2097;90.0;3.1;'''Note: Scientist impact; then Yeah wish control''';'''Note: After; then Reduce entire our'''
