username	rating	salary	price	description
frances_burns_1000	30.0	61.1	46.2	"""Note: Iusto	 then Eius assumenda"""
jennifer_elliott_0185	8.0	80.1	22.2	"""Corporis	 Incidunt magni Nemo"""
bruce_clarke_7211	55.0	44.1	61.2	"""Aspernatur qui: Voluptate	 Aut quasi voluptate"""
ms_chapman_2275	32.0	26.1	62.2	"""Note: Quibusdam tempore earum	 then Explicabo fuga"""
judith_smith_8260	21.0	21.1	33.2	"""Harum quae	 Cum dolore omnis quia Dignissimos"""
conor_poole_5288	48.0	35.1	51.2	"""Deleniti eligendi; Deserunt aspernatur 	 Quae nostrum"""
lesley_white_4541	46.0	41.1	54.2	"""Dolorum tempore quae dicta dolor	 Repellat dolor Rem"""
ellie_cooper_0736	88.0	93.1	11.2	"""(Tempore suscipit) 	 Dolores and Blanditiis recusandae nam"""
julia_stewart_1144	77.0	88.1	30.2	"""Note: Ut veniam	 then Ab totam quia"""
mrs_ashton_5950		88.1	100.2	"""Note: Aspernatur magnam	 then Excepturi officia magnam"""
mr_hughes_8029	78.0	47.1	90.2	"""Note: Amet hic	 then Est illum"""
mr_martin_5657	9.0	94.1	86.2	"""Perferendis neque molestiae	 Dicta rem architecto nam illum nisi Repellendus animi ratione porro commodi natus"""
mrs_warner_8934	13.0	51.1	9.2	"""Note: Labore nostrum	 then Magni"""
gail_parsons_9118	47.0	29.1	93.2	"""Non corrupti nemo	 Quod eligendi repellendus officia mollitia In excepturi sequi"""
louis_taylor_9549	36.0	14.1	6.2	"""Note: Fugit praesentium voluptates ipsum	 then Repellat rerum fuga"""
rosemary_boyle_9510	22.0	92.1	87.2	"""Et placeat	 Voluptas et Necessitatibus ducimus a dignissimos"""
dr_carter_4497	61.0	4.1	62.2	"""Animi animi; Officiis ea illum 	 Libero officia aut"""
clifford_burton_5762	52.0	90.1	2.2	"""Note: Amet aut	 then Iusto"""
mr_davison_2522	8.0	77.1	22.2	"""Quia eius; Consectetur consectetur 	 Quia vero"""
gary_richards_9579	81.0	44.1	46.2	"""Note: Accusantium pariatur	 then Animi"""
sam_walker_4769	59.0	53.1	21.2	"""Eum distinctio	 Ut odit aspernatur In eum molestiae molestias"""
megan_thomson_7090	16.0	24.1	76.2	"""Note: Necessitatibus laudantium	 then Ipsam"""
dr_patel_6736	73.0	22.1	38.2	"""Beatae blanditiis quo	 Non exercitationem voluptas itaque voluptas sit Voluptate non"""
eleanor_rice_3354	33.0	4.1	17.2	"""Est delectus: Consequatur alias deleniti ad	 Sint"""
dr_scott_7710	98.0	19.1	86.2	"""Voluptatem sint cum molestiae: Nostrum eius ratione dolorem at eius	 Praesentium"""
duncan_armstrong_8388	34.0	86.1		"""(Eum aperiam velit consequuntur omnis) 	 Earum nemo and Architecto"""
shannon_storey_7702	3.0	98.1	52.2	"""Tempora suscipit labore; Architecto voluptate beatae recusandae 	 Id excepturi"""
dr_thompson_6995	11.0		22.2	"""(Consectetur culpa blanditiis corrupti) 	 Aperiam and Deserunt eveniet"""
sean_field_6737	9.0	78.1	36.2	"""Et: Assumenda impedit vitae vitae	 Beatae asperiores eveniet"""
dr_grant_4239	8.0	98.1	76.2	"""Fuga architecto ipsa; Ratione tempore facilis quo ratione nostrum 	 Architecto enim"""
pamela_hill_4627	39.0	20.1	45.2	"""Note: Quisquam quo odio ducimus	 then Sapiente reprehenderit numquam"""
grace_hayward_2251	3.0	29.1	86.2	"""Similique cum facilis: Porro consequatur soluta	 Illo natus quia blanditiis"""
marie_harrison_1448	57.0	11.1	88.2	"""Eaque quaerat quae ipsa; Laborum veniam 	 Similique"""
mrs_johnson_6256	45.0	91.1	1.2	"""(Distinctio reprehenderit ducimus ex) 	 Ipsa quo consectetur recusandae and Unde amet accusamus"""
craig_smith_3646	70.0	78.1	22.2	"""Praesentium quibusdam: Blanditiis aut	 Ut dignissimos"""
sian_turner_7714	3.0	48.1	38.2	"""Cumque tempora saepe at; Perferendis placeat sint incidunt 	 Accusamus delectus"""
