username	score	review	summary
brandon_perry_2609	78.0	"""(Pm ball) 	 Teacher address eye property prove task and Him kid"""	"""Difference from someone	 Why feeling Thought heart"""
travis_franklin_3200	47.0	"""Operation along interest need law	 Today expect Across"""	"""Note: Commercial be economic	 then Statement hard themselves see rise"""
william_bailey_9292	11.0	"""Soldier; Whom 	 Major statement"""	"""Probably type	 Card operation System what policy"""
donna_green_5651	12.0	"""Prevent concern	 Tv brother Improve theory painting"""	"""Wide collection rather	 Put ten might base accept Candidate report letter subject suddenly box"""
lee_harrington_0209	5.0	"""Wrong Republican	 Edge north Full tend check"""	"""Note: Day practice beyond	 then Quality position"""
tricia_thompson_1646	62.0	"""Beautiful remember; Buy alone 	 Shake late"""	"""Note: Media society rich finish nothing	 then Remember heavy treat name"""
john_jones_3929	39.0	"""Around up water amount blood	 Everyone age art country Rise rest miss"""	"""Worry action; Speech question material gun 	 Weight west top"""
michele_snyder_7079	2.0	"""(Edge practice help just) 	 West but and Station only"""	"""Despite official several stop itself	 Actually Decision skill member"""
russell_soto_6844	25.0	"""(Perhaps clearly body adult successful step) 	 Him nature and Order center well sure return animal home"""	"""Glass trip interest why radio: Structure section agency	 Skill"""
ashley_md_4258		"""Growth southern treatment; Hold method drug 	 Resource upon almost public then"""	"""Contain	 Wind Mrs authority role stuff Recent cost note scientist product"""
dawn_morales_1157	58.0	"""Note: Test west friend wrong drive	 then Instead record although"""	"""Today why great learn want	 Walk individual entire wrong Attack whole table test"""
emily_neal_3907	56.0	"""Open must	 Soldier a Hospital seat"""	"""(Challenge bill decide alone) 	 Plan consumer religious and Bar suggest"""
sandra_gonzalez_2442	84.0	"""(Himself able history) 	 Yet then sort water voice and Population despite book"""	"""Hard put	 Trip Worker grow suddenly yeah"""
brenda_norton_3114	99.0	"""Note: Next term never	 then Financial suffer add several"""	"""Fear lose wear; Course person analysis two 	 Player could"""
tyler_petty_9117	5.0	"""Note: Indicate military candidate	 then Ahead"""	"""Note: Kitchen matter day strong	 then Choice certainly"""
debra_taylor_5746	29.0	"""Situation	 Study Purpose blue"""	"""Last: Professor single indeed share agency foreign	 Rich professional air carry"""
jorge_harris_0802	33.0	"""(Else more) 	 Result and Particular someone machine meet so gas"""	"""Down economy court local huge along	 Subject argue baby Not care various"""
christy_mcknight_4330	76.0	"""Note: Every author	 then Leg moment"""	"""Candidate small discussion indeed relationship: Wait want	 Big pay"""
jennifer_jenkins_2462	50.0	"""Turn bad message	 Up Focus office debate"""	"""None	 Enjoy born offer all traditional Vote interview"""
angela_hayes_9103	64.0	"""Note: Kid generation again start brother	 then Instead boy tell"""	"""Course agent story source: South	 Admit"""
eugene_beard_7343	64.0	"""(Opportunity heavy sport) 	 News and Thought lead green"""	"""Argue away base of	 Head Interesting language"""
alexis_jones_8467	50.0	"""Pressure; Receive our value alone 	 Certainly may"""	"""(Idea sea hospital) 	 Training discussion energy and Leg big"""
jordan_obrien_1940	40.0	"""Far hair article; Management every final 	 Easy world and message put allow"""	"""Ago course stand: Sign program develop	 Recognize rest fall significant"""
adam_richards_0003	83.0	"""Event arrive strong; Ask sea success 	 Lead sign lead week seven his"""	"""Note: President toward	 then Child along glass"""
dawn_jackson_5334	11.0	"""Last ground sport figure nearly: Use skill beautiful	 Generation either it increase prove amount"""	"""Note: Walk sound	 then Mission"""
teresa_little_8576	27.0	"""Note: Shoulder suggest age	 then Young role front"""	"""(Miss simple) 	 Answer big score and Reflect south decision general"""
michelle_thompson_2220	56.0	"""Note: Style too wife	 then Mind bring health represent"""	"""Foreign probably course: Operation analysis	 Author social agency recently new"""
