username,rating,salary,total_count,comment,description
duncan_reynolds_0610,34.0,,29.2,'''Hic: Quo, Deserunt natus tempore''','''Note: Debitis, then Nobis suscipit'''
dr_jones_8422,11.0,14.1,17.2,'''Vitae perspiciatis ea ducimus mollitia, Magni tenetur laboriosam Dignissimos deserunt vitae molestiae''','''Alias nemo, Animi quo eius Enim ipsum'''
miss_grant_2127,48.0,67.1,53.2,'''Ipsum aperiam, Ipsam nam Repellendus veritatis numquam''','''Note: Quo odio provident, then Quis facere saepe'''
dr_smith_0696,47.0,8.1,,'''Note: Libero corrupti, then Tenetur in''','''Excepturi recusandae repellat explicabo magni consequuntur, Reiciendis voluptate sapiente Iste consequatur'''
nicola_clements_5109,33.0,81.1,89.2,'''Iusto nam beatae saepe ad: Perspiciatis laudantium sapiente libero labore error, Impedit''','''(Facilis veniam consequatur) , Dolore and Culpa sint est'''
nicola_clarke_8032,16.0,33.1,81.2,'''Note: Porro totam debitis saepe, then Illo architecto pariatur porro vitae''','''Note: Iure nostrum sint, then Necessitatibus illum'''
carole_smith_6799,6.0,6.1,53.2,'''Consectetur quisquam nemo reprehenderit; Blanditiis fugiat , Odio sequi''','''Pariatur vitae velit, Nemo fuga illum Explicabo earum nemo alias labore'''
mary_martin_3967,23.0,28.1,35.2,'''(Sapiente adipisci quaerat vitae) , Ex itaque and Accusamus aliquid''','''Accusantium: Voluptas odit, Adipisci eaque ab'''
mohammad_edwards_9507,70.0,96.1,2.2,'''Fugit enim veritatis, Tempora Accusamus esse''','''Quod corrupti doloremque; Ea hic , Quis a molestias possimus delectus'''
miss_murphy_9166,45.0,70.1,21.2,'''Note: Placeat eligendi iusto, then Aliquam iste magnam''','''Similique minus voluptates: Quae, Numquam doloribus quibusdam'''
dr_barber_7395,75.0,70.1,44.2,'''Esse asperiores: Velit fuga asperiores eligendi, Quam ab nam''','''At quo: Expedita laudantium, Eveniet deleniti quod aspernatur suscipit'''
mr_young_4624,16.0,43.1,95.2,'''Note: Placeat fuga, then Nemo''','''Nemo saepe, Saepe ut Nesciunt magni aliquam'''
sara_hunter_4722,55.0,62.1,91.2,'''Libero voluptas tempora; A pariatur , Veniam pariatur''','''A soluta provident sint animi neque; Vero , Reprehenderit eos excepturi veritatis minima'''
mr_fletcher_3275,21.0,84.1,88.2,'''Note: Quae tempora vero quasi magnam minus, then Repellendus''','''(Quam perferendis ut) , Libero impedit illo earum and Ipsam totam perferendis totam'''
judith_wright_6537,,2.1,41.2,'''Note: Eaque, then Soluta quibusdam''','''Soluta consectetur cumque earum: Tempore, Aut omnis quae'''
ricky_carter_9520,42.0,92.1,93.2,'''Note: Nesciunt facilis ratione, then Esse''','''Placeat harum eaque incidunt suscipit: Sunt consequatur eum nihil cupiditate, Aliquam ipsam aut'''
phillip_bruce_8345,26.0,86.1,93.2,'''Note: Assumenda, then Nostrum esse autem non at fugiat''','''Note: Molestiae, then Ad accusamus iure'''
mr_johnson_6064,93.0,18.1,74.2,'''Aspernatur; Asperiores dolorem provident , Natus quod''','''Quod: Repudiandae animi, Nulla sint'''
ryan_day_9702,61.0,71.1,40.2,'''Note: Officia rerum assumenda, then Saepe porro''','''(Quaerat tenetur enim) , Laudantium quaerat and Dicta temporibus labore incidunt'''
dr_cooper_4300,49.0,98.1,23.2,'''Placeat ipsum; Amet , Magni itaque''','''Note: At quaerat, then Voluptatum'''
katie_walker_3772,49.0,20.1,73.2,'''(Hic) , Cupiditate natus fugit and At labore aliquam aliquam''','''Commodi dignissimos expedita, Officia modi veniam Quasi natus odio explicabo'''
antony_kennedy_9189,5.0,44.1,31.2,'''Corporis reiciendis; Consequuntur fuga ab eveniet , Ratione nisi vero''','''Note: Fugiat praesentium inventore, then Sequi perspiciatis'''
amanda_brown_9906,1.0,4.1,79.2,'''Officia aliquam distinctio eum provident; Id suscipit , Mollitia cumque''','''(Voluptatibus vitae atque) , Recusandae illo fugit reprehenderit and Minus pariatur nemo accusamus omnis'''
dr_green_3656,78.0,87.1,63.2,'''Ipsam illo, Vero distinctio Alias sunt exercitationem quis rerum''','''Note: Minima dolorum, then Dolorum laudantium sequi nihil mollitia'''
janet_hughes_4683,97.0,15.1,99.2,'''A quis explicabo quisquam magnam: Non qui, Explicabo odio vero''','''Note: Excepturi ratione iste minus distinctio perspiciatis, then Nulla'''
megan_ryan_3414,78.0,7.1,11.2,'''Note: Autem minus fuga, then Provident ad quis asperiores dolor''','''Non, Animi cumque tempore omnis quaerat hic Vel consectetur ad'''
lesley_sims_6236,4.0,56.1,70.2,'''Quasi, Dolorum a omnis pariatur Inventore non''','''Note: Vel voluptas sit dicta, then Totam dignissimos ipsa quia'''
