username;total_count;age;score;review;remark
terence_walsh_8883;54.0;98.1;63.2;"""Quae ipsa; Rem praesentium doloribus Doloremque""";"""Ratione doloremque: Magnam et; Ad labore temporibus sunt"""
melissa_smith_9003;8.0;27.1;42.2;"""Facere deleniti iste; Omnis adipisci voluptatibus earum Non rerum""";"""Officiis animi; Cumque sint Laboriosam id"""
naomi_lloyd_9802;66.0;78.1;43.2;"""Neque nulla commodi eos necessitatibus: In nesciunt; Consequuntur""";"""Laboriosam quis; Nesciunt odio accusantium ; Eos quisquam unde odio rerum ducimus"""
edward_collins_2211;12.0;26.1;43.2;"""Iure officiis voluptatibus; Consectetur ; Quia""";"""Eligendi laborum; Facilis numquam exercitationem deserunt sed Impedit ad"""
olivia_baker_5474;50.0;49.1;63.2;"""Note: Cumque quasi; then Nemo est autem""";"""Note: Quam est nostrum optio dolores; then Iure quae vel"""
ms_perry_0616;91.0;35.1;7.2;"""Amet eius; Esse ratione iure Ab excepturi eligendi""";"""Rerum; Tenetur perferendis Deleniti laudantium ad atque error deleniti"""
abdul_thompson_3992;31.0;41.1;78.2;"""Aperiam voluptatem officia: Recusandae quos sapiente; Commodi accusamus voluptatem""";"""(Maxime amet deserunt) ; Possimus sit and Voluptatum repellat"""
shaun_smith_0824;31.0;78.1;56.2;"""Note: Eveniet dolor dolores nisi ullam; then Nam quod nihil""";"""Perferendis ipsum dignissimos; Veritatis ; Quo molestiae debitis inventore unde veniam"""
steven_sykes_9418;50.0;24.1;94.2;"""Note: Sequi eaque tempore; then Consequuntur fugiat eius voluptas""";"""Incidunt doloribus consectetur esse quos: Iste saepe esse; Alias molestiae"""
mr_marshall_6862;79.0;75.1;42.2;"""Itaque; Quae nesciunt Ea voluptas""";"""Perferendis sit cum similique: Ex officia tempore; Voluptate"""
adrian_bates_0620;47.0;32.1;79.2;"""Fuga debitis quis doloribus voluptatum; Odit sequi laborum quo provident ; Saepe dignissimos""";"""Beatae autem; Minus quasi repellat dolore nihil maxime voluptates Qui assumenda"""
dr_roberts_1655;54.0;46.1;75.2;"""Unde fuga; Voluptas ; Cupiditate laborum nulla omnis""";"""Perferendis; Reiciendis quidem ; Consequatur adipisci inventore sed deleniti harum"""
amy_cole_0037;14.0;95.1;24.2;"""Itaque; Eligendi sequi Sed facere delectus ipsa""";"""(Earum quaerat voluptate ad assumenda) ; Dolor and Velit nihil"""
olivia_barker_1573;64.0;1.1;61.2;"""Autem architecto; Vitae quod suscipit fugiat quae ; Unde numquam commodi eaque maxime""";"""Dolor magnam: Minima ipsa eligendi; Provident omnis voluptate"""
bryan_hughes_4073;1.0;18.1;53.2;"""(Deserunt nam pariatur) ; Iusto harum and Fuga""";"""Distinctio ipsum: Accusamus aliquam recusandae consequatur; Ea quaerat in"""
jasmine_hooper_9206;51.0;61.1;97.2;"""(Dolorum fuga non suscipit) ; Sint and Velit maiores""";"""(Facilis) ; Harum quibusdam and Quos"""
ashleigh_foster_8841;34.0;98.1;68.2;"""Adipisci; Aut minus ; At optio nulla""";"""Accusamus tenetur: Corrupti voluptas quisquam nisi; Minima rem"""
lauren_gibbs_5323;25.0;88.1;54.2;"""Aliquam doloremque; Totam quas Consequatur voluptatem atque""";"""Aliquam numquam magni numquam; Numquam id ; Porro asperiores"""
catherine_robinson_7468;51.0;6.1;43.2;"""Officia tenetur dolor laborum; Ab Magni ipsam fugit magni quae""";"""(Molestiae earum omnis) ; Voluptatem doloribus distinctio distinctio provident and Dolorum facilis accusantium"""
mr_grant_1873;93.0;5.1;81.2;"""Hic quis dolore incidunt; Doloribus consequuntur Eligendi exercitationem""";"""Note: Ea eveniet aut tenetur; then Enim"""
mr_moore_9986;55.0;40.1;1.2;"""(Sequi quibusdam) ; Esse and Consectetur quas""";"""Note: Recusandae laboriosam pariatur omnis; then Blanditiis"""
melissa_miles_7571;23.0;78.1;88.2;"""(Quas dolorem) ; Quas and Temporibus at magnam""";"""Iusto perspiciatis nihil quam adipisci: Blanditiis; Maiores hic qui aperiam voluptatem ipsa"""
molly_smith_7689;28.0;28.1;68.2;"""Deserunt nobis voluptates; Molestiae assumenda Dicta perferendis est amet""";"""Repudiandae quae sapiente: Tenetur eaque; Dolorem"""
brenda_roberts_9037;63.0;56.1;42.2;"""Note: Facere temporibus temporibus recusandae delectus; then Inventore distinctio similique""";"""Est natus delectus; Nisi ; Consectetur inventore vel"""
miss_day_6977;53.0;37.1;91.2;"""Note: Quae numquam; then Possimus corrupti""";"""Note: Nesciunt autem; then Non necessitatibus accusantium ipsa autem"""
ms_green_9279;39.0;93.1;18.2;"""Note: Aliquam adipisci commodi laudantium ipsam; then Iste quibusdam culpa quasi amet dignissimos""";"""Sapiente mollitia provident veritatis; Temporibus doloribus Maxime"""
katie_smith_2493;65.0;30.1;90.2;"""(Velit nihil voluptate) ; Tempore eius ratione delectus natus rem and Eius aspernatur omnis quod quia""";"""Nesciunt minima aperiam; Perferendis dignissimos consequatur ; Perspiciatis iusto"""
clare_gray_6478;95.0;64.1;4.2;"""Dolor; Repellendus accusantium Iure sunt consectetur aliquam blanditiis""";"""Ipsam velit asperiores; Dolorum hic iste Unde ducimus facilis"""
sophie_russell_7768;52.0;32.1;36.2;"""(Eos ipsam itaque consectetur saepe amet) ; Vitae voluptatem and Deleniti magnam repudiandae""";"""Incidunt perspiciatis iusto ullam: Adipisci maiores fugiat harum saepe; Hic voluptatibus"""
leon_hughes_3778;45.0;31.1;48.2;"""Dolorem officiis corrupti modi; Ipsum sit Nulla accusantium""";"""(Minus) ; Ea and Commodi doloribus cum"""
kieran_griffiths_4716;99.0;;42.2;"""Note: Autem asperiores ut; then Illum magnam fugit asperiores harum cumque""";"""Note: Provident excepturi; then Expedita iusto asperiores architecto"""
