username,price,description,summary
beth_woodward_9105,60.0,'''Iure nostrum odit, Est rerum labore dignissimos minus Voluptate totam ipsum''','''Perspiciatis fuga a perspiciatis, Sequi quae nulla explicabo adipisci Deleniti temporibus error illum'''
suzanne_riley_2448,39.0,'''Reprehenderit ab, Eum occaecati corrupti fuga Id''','''Cum voluptate; Vel saepe quibusdam , Laborum ullam adipisci'''
dr_hancock_5889,,'''(Reprehenderit assumenda) , Iste magni odit eius soluta and Ex earum ex praesentium''','''Note: Earum ratione et, then Cumque'''
kate_walsh_4651,73.0,'''Note: Voluptas eos, then Error laudantium ab labore dolores''','''Magnam: Nobis eaque, Quaerat'''
roger_knight_6186,46.0,'''Ullam aliquid nesciunt minima nam eveniet; Sequi nobis , Laborum necessitatibus''','''(Iusto voluptas) , Aut tempora provident et and Saepe autem ipsa'''
dr_edwards_3925,1.0,'''Note: Repellendus voluptate, then Ratione nesciunt''','''Note: Numquam esse inventore nisi, then Distinctio temporibus'''
dr_martin_8999,12.0,'''Note: Nihil ducimus veniam, then Dicta voluptas est rem velit sint''','''Velit quis: Amet ab similique, Incidunt suscipit'''
brenda_morgan_4688,38.0,'''(Voluptas) , Error nulla and Magnam''','''Accusamus: Adipisci nobis repudiandae minus, Autem'''
emily_hardy_5583,49.0,'''(In aspernatur dolore totam accusamus) , Aliquid non occaecati and Est doloribus aliquam quae minus''','''Note: Quasi eveniet veniam, then Atque tenetur'''
gordon_wilson_8594,2.0,'''Velit: Modi, Autem eaque natus sit reiciendis unde''','''Sapiente et; Adipisci voluptatem reiciendis ea quidem eaque , Cum excepturi consequuntur'''
dr_wheeler_2718,48.0,'''Numquam reprehenderit harum, Iusto eaque fuga magni Doloribus commodi''','''Harum: Illum itaque cupiditate nobis dolores aut, Recusandae molestiae exercitationem'''
ruth_kaur_2818,86.0,'''(Amet debitis totam harum autem commodi) , Unde error porro and Tenetur impedit sit fugiat error''','''Quaerat molestiae voluptatum; Eos dolor , Odit'''
bernard_khan_2995,87.0,'''(Dolor) , Aut and Doloribus tempora''','''Note: Perferendis tenetur, then Nulla quas natus sit'''
dr_sutton_7665,20.0,'''Note: Doloribus, then Quisquam architecto cum''','''Sequi: Dolorum suscipit perferendis omnis, Aspernatur illum'''
kathryn_sanderson_4166,9.0,'''Note: Laudantium harum, then Nesciunt quasi assumenda''','''Soluta est vitae enim: Voluptatem optio minus, Non laborum iste exercitationem'''
ms_phillips_5357,24.0,'''Corporis sunt veniam; Deleniti aliquam harum at , Nam fuga''','''At exercitationem, Libero fuga adipisci Magni odio reprehenderit nam perspiciatis quae'''
jacob_bates_0460,42.0,'''Dolores consequuntur voluptatum quisquam aspernatur; Ullam reprehenderit , Nesciunt''','''Veritatis animi; In est sit , Laudantium excepturi vero'''
miss_davies_8727,2.0,'''(Aliquam dolorem iusto) , Vitae and Molestiae perferendis vero''','''Officia officiis repudiandae cumque minima; Odio aliquid , Nulla esse error eius quia'''
bethan_hill_8043,68.0,'''(Dignissimos autem) , Veniam and Vitae tenetur nobis reiciendis perspiciatis''','''Temporibus sequi ducimus in sed: Nisi eaque, Perferendis placeat autem quod ratione'''
jamie_bray_1501,99.0,'''Note: Accusamus qui ratione, then Placeat eum quisquam''','''Dicta: Quidem non quasi, Odio'''
kevin_roberts_7891,91.0,'''(Accusamus facilis illo minima) , In aut dignissimos asperiores nihil and Nostrum enim excepturi''','''(Occaecati) , Aliquid and Exercitationem'''
mrs_adams_5561,90.0,'''Tempore laudantium, Cupiditate aperiam enim hic Neque expedita''','''(Suscipit sunt) , Eligendi ratione enim and Distinctio nihil est sed dolores possimus'''
nigel_smith_4930,91.0,'''Note: Ipsa quod harum, then Quibusdam tenetur nobis adipisci''','''(Eos dolorem) , Ducimus eius ullam voluptatum and Neque doloribus distinctio perspiciatis qui accusamus'''
trevor_simpson_6118,60.0,'''(Deserunt hic distinctio) , Delectus and Fugiat aperiam sapiente''','''Note: Quia numquam odio delectus molestiae, then Blanditiis vitae'''
diana_hutchinson_7257,11.0,'''Repellat quidem quibusdam dolorem: Modi cum unde inventore, Non ipsa''','''Note: Veniam odit, then Quae esse consectetur et'''
alexandra_hurst_8760,14.0,'''Dolorem facilis unde: Porro neque dolores similique, Assumenda fugiat amet''','''Rem deserunt: Quidem illo laudantium sequi nesciunt, Perferendis eos'''
miss_lewis_9843,81.0,'''Illum non beatae deleniti consequuntur dicta, Magnam odio Molestias dolorem explicabo''','''Note: Quo assumenda, then Velit vel aliquam assumenda adipisci'''
scott_osborne_9627,80.0,'''Veritatis, Perspiciatis distinctio natus Esse vero''','''Note: Soluta animi sed, then Reiciendis necessitatibus tempore'''
donald_gill_8541,40.0,'''(Nulla porro) , Placeat facilis doloribus and Excepturi''','''Et asperiores sed ratione provident, Repellendus placeat corporis qui quidem Voluptatum suscipit reiciendis'''
olivia_stephens_4925,9.0,'''Praesentium beatae beatae perferendis accusamus, Deleniti minus reprehenderit laudantium facere recusandae Autem dignissimos incidunt''','''(Veritatis molestias maiores dolore) , Quis delectus dignissimos laborum and Magnam officia quam'''
mr_rahman_7115,39.0,'''Placeat aliquam minus ratione: Blanditiis reiciendis voluptatum eos nesciunt, Excepturi''','''(Voluptatem voluptatem) , Blanditiis mollitia amet aliquid and Molestias quod ipsum'''
