username;price;score;salary;description
dr_lloyd_6402;99.0;73.1;6.2;"""Culpa hic iure nisi qui; Omnis enim Aliquid voluptatibus"""
marion_kirk_5062;51.0;89.1;75.2;"""Qui explicabo aliquid; Excepturi tempora cumque ; Magnam vel dignissimos"""
joseph_saunders_5963;4.0;11.1;30.2;"""Note: Nam repellat quibusdam quae; then Fugit nam"""
ms_ahmed_9039;20.0;89.1;76.2;"""(Fugit nemo) ; Sed asperiores non and Magni cum sint consequatur"""
mr_gibson_0711;26.0;2.1;41.2;"""Animi dolores cum nobis; Nulla magnam dolores quasi totam Earum enim ipsam consequatur"""
lorraine_bennett_3611;100.0;7.1;73.2;"""Inventore; Dignissimos Consequatur id assumenda vitae veniam"""
miss_marshall_0700;66.0;44.1;100.2;"""Fugiat: Atque pariatur consequuntur ipsum eos unde; Velit aut"""
mr_gilbert_0452;1.0;76.1;83.2;"""Voluptates minima cumque: Repellendus distinctio quas recusandae itaque at soluta; Voluptatum ab"""
sandra_anderson_0869;11.0;41.1;47.2;"""Note: Saepe officiis; then Ducimus pariatur"""
dr_butler_0263;11.0;33.1;49.2;"""Deleniti nulla cumque quae possimus officiis; Temporibus voluptates voluptate ; Consectetur perspiciatis nulla vero sunt"""
john_little_1182;38.0;94.1;;"""Note: Molestiae eius totam necessitatibus; then Quasi architecto"""
stanley_ward_3771;90.0;96.1;21.2;"""Fugit voluptatum optio accusamus; Ipsum sit tenetur ; Tenetur hic"""
ms_edwards_8835;49.0;22.1;19.2;"""Note: Hic; then Minima"""
francis_mitchell_5446;30.0;53.1;46.2;"""Excepturi officia quae aliquid vero; Dolore natus Omnis repudiandae debitis vitae quia"""
mr_howard_9946;1.0;43.1;83.2;"""(Blanditiis perspiciatis) ; Voluptatem laudantium laudantium hic consequuntur and Animi alias"""
timothy_johnson_4900;93.0;56.1;91.2;"""(Atque sunt) ; Quia ratione labore quo and Cupiditate"""
kathleen_walker_2868;76.0;66.1;42.2;"""Autem repudiandae: Inventore incidunt; Veritatis nisi"""
charlene_mcdonald_5150;36.0;91.1;43.2;"""Note: Atque doloremque nam; then Ducimus distinctio"""
keith_moore_6770;92.0;78.1;43.2;"""Veniam facere: Rerum culpa sit quam error eius; Voluptas sapiente error"""
tracy_bennett_5856;39.0;70.1;83.2;"""Deserunt provident; Quia in id iusto voluptatum ratione Mollitia a eius"""
kim_brookes_5414;71.0;;93.2;"""(Commodi earum odio voluptatibus sint dignissimos) ; Debitis consectetur ea rem quia and Sapiente quisquam eaque dolores"""
duncan_watson_2793;93.0;90.1;31.2;"""(Harum quia) ; Nesciunt adipisci and Corrupti ipsa"""
mr_white_5593;33.0;26.1;76.2;"""Esse voluptatum: Sequi omnis asperiores optio necessitatibus quas explicabo; Alias ea assumenda eligendi id"""
stewart_moore_7818;36.0;85.1;20.2;"""Ex expedita laborum eaque; Fugit ; Distinctio asperiores consequatur modi explicabo"""
lynne_cox_5734;60.0;30.1;97.2;"""Note: Voluptatibus corporis commodi vel reiciendis corrupti; then Omnis vero"""
ellie_douglas_8784;28.0;66.1;35.2;"""Veniam omnis voluptatibus; Alias ; Tempore blanditiis doloremque"""
dr_potter_7729;53.0;73.1;42.2;"""Hic officia; Odio fugiat similique consequuntur optio Dolorem"""
rachel_sutton_1177;74.0;76.1;77.2;"""Note: Reprehenderit fugiat unde; then Modi ipsam neque"""
christopher_cross_4372;21.0;56.1;95.2;"""Quia aspernatur; Officia tenetur nemo Unde et deserunt blanditiis"""
