username;age;review;comment
bruce_lees_4020;1.0;'''Note: Voluptates inventore; then Quod''';'''Libero magni corrupti: Cumque quidem itaque minus; A laboriosam'''
dr_gray_7678;98.0;'''(Nobis numquam) ; Assumenda ipsam and Amet voluptatem nobis occaecati''';'''Dicta odio dolore; Quam Placeat'''
kimberley_morris_8562;8.0;'''(Culpa sed alias in) ; Consequuntur alias esse and Explicabo ab quibusdam distinctio ullam in''';'''Deleniti nulla dolore: Corporis voluptas; Quibusdam omnis dolore'''
howard_stevens_9382;15.0;'''Nisi molestiae ipsam; A illo ullam vel maiores Tenetur numquam error beatae''';'''Minima nihil voluptas; Explicabo magnam ; Placeat consequuntur libero'''
kate_reynolds_1143;37.0;'''Hic molestias corporis; Molestiae suscipit ; Laudantium accusantium''';'''(At iure) ; Est perferendis voluptates fuga ad and Error esse ea quaerat rem'''
shaun_horton_5021;5.0;'''A ducimus accusantium quia: Mollitia; Architecto voluptate odio laboriosam veniam tempore''';'''Corporis eum: Saepe magni; Reiciendis'''
pamela_edwards_0228;97.0;'''(Cumque tenetur incidunt quae distinctio) ; Voluptates eligendi aperiam earum suscipit and Adipisci quos delectus ad quia''';'''Dolorem vitae ratione; Vel Eum delectus delectus natus sed'''
darren_saunders_8920;67.0;'''(Officia hic) ; Velit praesentium and Quae''';'''Note: Corrupti molestiae vero laudantium labore suscipit; then Minima praesentium'''
dr_adams_6200;11.0;'''Commodi possimus quos: Asperiores qui; Distinctio''';'''Cum veniam nam suscipit; Ex expedita neque repudiandae ; Fuga facere voluptas accusantium'''
josh_lord_4861;84.0;'''Soluta; Temporibus ; Excepturi non qui''';'''(Dolores earum) ; Similique ipsum eveniet dolore and Aliquam'''
geoffrey_jones_5734;4.0;'''(Cumque modi molestiae) ; Nihil similique at culpa and Natus similique quidem accusamus''';'''Note: Praesentium eius earum; then Enim sint'''
roy_cross_0547;;'''Impedit in deleniti enim tempore; Ullam cum veritatis Eum''';'''Note: Iste dolorem odio magni; then Doloremque'''
dr_hamilton_5357;8.0;'''Laboriosam velit: Laudantium doloribus a; Ducimus magnam''';'''Nemo explicabo tempora repudiandae: Quas; Ducimus maiores qui'''
michelle_williams_9317;25.0;'''Nam facilis non doloribus; Dolores qui ; Sunt repudiandae''';'''Quos rem quis; Necessitatibus delectus quaerat totam numquam ; Mollitia totam'''
tina_murphy_3508;71.0;'''Laboriosam harum vel: Incidunt at; Nostrum dolorum dolorum eaque''';'''Reprehenderit itaque laudantium: Ratione a officia debitis; Dolorem a odio consectetur minima cumque'''
stewart_henderson_7304;25.0;'''(Praesentium) ; Cum quos eos similique eveniet and Eius iusto''';'''Impedit eos; Labore quia beatae odit atque nostrum Suscipit earum expedita et quaerat'''
mr_davies_6860;41.0;'''Ullam numquam alias natus; Neque ; Non culpa inventore''';'''Note: Voluptatibus dolor unde; then Quae debitis necessitatibus'''
ms_robinson_5699;16.0;'''(Maiores dignissimos unde) ; Sunt quasi cupiditate and Eius''';'''Modi ex reiciendis aspernatur cupiditate; Accusamus amet dolorem vitae cupiditate Quibusdam'''
jane_matthews_8827;86.0;'''Hic consequatur nostrum: Eaque vitae beatae; Eaque''';'''(Rem consectetur) ; Ut suscipit aspernatur and Sed libero'''
marion_kirby_6941;96.0;'''(Accusamus) ; Magnam id aliquid and Eveniet reiciendis ab itaque error quibusdam''';'''Distinctio; Tempore earum Voluptate amet rerum'''
iain_iqbal_4812;21.0;'''Note: Enim voluptate quisquam possimus; then Adipisci exercitationem''';'''Facere quis placeat minima: Odit impedit ratione occaecati; Expedita tempore hic'''
mrs_holland_6531;41.0;'''Eos voluptatum; Modi accusamus laudantium harum rem ; Voluptatum dignissimos sunt vel illum''';'''Tempora quos: Perferendis eos similique numquam; Iusto sapiente magni voluptatum'''
derek_wilkinson_1819;43.0;'''Dicta nobis dolore eius at: Non eum; Illum doloribus non repudiandae laborum quasi''';'''Rem: Eos architecto ducimus; Inventore dolorem reprehenderit'''
mr_tyler_2283;92.0;'''Rerum sit quos; Alias blanditiis sint incidunt ; Iusto mollitia doloribus''';'''Ullam inventore; Voluptatem natus provident ; Maiores at'''
james_hall_2832;3.0;'''(Asperiores) ; Quo eos quo tempora atque and Voluptas nesciunt ipsa vero''';'''Voluptate aliquam dicta: Tempore; Numquam'''
