username,score,total_count,price,description
brenda_clark_9053,90.0,90.1,100.2,"""Adipisci dignissimos atque; Laboriosam vel delectus dolore , Placeat ipsa"""
leon_harris_4113,34.0,54.1,89.2,"""Possimus deserunt reprehenderit: Nesciunt culpa accusamus, Quaerat rem"""
bernard_white_4233,40.0,82.1,31.2,"""Aliquam maxime porro dicta, Excepturi sit accusamus reiciendis Distinctio beatae"""
connor_morris_9807,7.0,37.1,,"""Note: Accusamus deserunt, then Aliquid distinctio magnam"""
rosemary_williams_7653,53.0,82.1,90.2,"""Note: Reiciendis illum, then Qui tempora vel"""
paul_barber_6661,17.0,94.1,32.2,"""Ipsa vitae aperiam, Quae eum eveniet Vel"""
ms_watts_2772,50.0,29.1,91.2,"""(Molestiae quo iste sapiente fugit) , Aliquam and Cum"""
elizabeth_johnson_4316,36.0,5.1,39.2,"""(Quo doloribus porro voluptatem) , Officia saepe laboriosam libero enim and Consequuntur"""
lynda_day_9467,92.0,54.1,59.2,"""Note: Repudiandae cupiditate veniam facere esse ad, then Officia"""
neil_gill_0830,22.0,98.1,82.2,"""(In necessitatibus asperiores) , Esse libero adipisci quas and Nam assumenda totam mollitia"""
frances_berry_6031,77.0,19.1,47.2,"""Cumque praesentium placeat; Illo aspernatur consequatur , Nobis sunt delectus perferendis nobis"""
mr_nicholson_7998,10.0,62.1,11.2,"""Dolorem ipsam dolore, Ea ipsam laboriosam Possimus quisquam"""
jacqueline_armstrong_5346,93.0,30.1,55.2,"""Perspiciatis deleniti: Enim ad, Fugiat"""
harry_potts_8540,49.0,23.1,97.2,"""Note: Numquam quo aliquid minima pariatur, then Deleniti"""
michael_jones_4712,91.0,96.1,62.2,"""Maxime expedita, Vel repellat provident Maiores consectetur nihil"""
andrea_evans_5479,70.0,73.1,35.2,"""Nulla minima nihil beatae, Voluptate quibusdam quos id Optio ab inventore iste quibusdam"""
alice_knight_0733,43.0,22.1,99.2,"""Minima aliquid; Tempora cum , Reprehenderit et"""
derek_pope_3025,37.0,14.1,10.2,"""Quasi modi debitis eius; Sunt corrupti odio , Quaerat molestias dolorem quo quos veniam"""
marian_wood_3467,6.0,7.1,80.2,"""Note: Assumenda mollitia aliquid, then Eius vitae sequi"""
grace_nicholson_5364,,,25.2,"""(Expedita itaque est asperiores repudiandae) , Doloribus quaerat and Ducimus officia autem"""
