username;age;total_count;review;summary
dr_jones_3961;60.0;93.1;'''Placeat eveniet nisi at labore: Voluptatum vitae provident corrupti; Incidunt dolores''';'''Voluptatibus quaerat fuga: Voluptatibus sed; Cupiditate animi aspernatur expedita vitae'''
dr_potter_0618;52.0;6.1;'''Note: Molestias sed repellendus atque; then Enim saepe mollitia ab''';'''(Dicta) ; Eius dolores placeat and Blanditiis repellat'''
joel_evans_2474;64.0;97.1;'''Cumque officia ea; Minima tempora saepe Fugiat ipsam repellat aliquid reprehenderit''';'''Laudantium: Veritatis quidem; Non quidem'''
mr_austin_2414;42.0;40.1;'''A non; Officiis a at facilis Nulla tenetur autem''';'''(Rerum minus eveniet) ; Occaecati iste tempore laudantium and Excepturi'''
ms_daly_2184;64.0;63.1;'''Note: Consectetur ratione distinctio eligendi; then Dolores dolor''';'''Soluta dolore; Cum repudiandae eaque veritatis ; Ex eligendi expedita nostrum'''
mrs_hobbs_1387;72.0;6.1;'''Note: Labore suscipit corporis iste; then Reiciendis consectetur voluptates''';'''Note: Perferendis quaerat; then Deleniti corrupti tempora ducimus'''
mr_daniels_1287;23.0;5.1;'''Inventore aperiam repellendus accusamus incidunt; Rerum sint officiis earum ; Laborum et''';'''At voluptas; Ullam maiores tempora Quisquam'''
anne_john_8621;96.0;89.1;'''Temporibus consectetur; Aliquid eaque vitae ; Illo ullam''';'''Officia maiores ipsam fuga praesentium; Praesentium accusantium ; Magnam nostrum doloremque possimus'''
natasha_parsons_2880;;20.1;'''Note: Mollitia ex; then Fugit deleniti amet''';'''Voluptatem eligendi magnam; In deserunt eos Minima quae architecto'''
dr_coles_4780;42.0;61.1;'''Neque laborum quas doloribus ab; Reiciendis Quis''';'''Note: Nostrum amet; then Dolorem sapiente perspiciatis necessitatibus quo'''
ms_thompson_9919;31.0;30.1;'''(Placeat iusto omnis) ; Aliquam autem and Vero corporis eos''';'''(Iure iusto iusto) ; Eveniet laborum ad ex perspiciatis and Voluptatibus tenetur'''
hannah_clark_1965;97.0;63.1;'''Note: Repudiandae deleniti facere; then Quae quibusdam dolorum molestiae pariatur''';'''Iusto voluptatum vel ipsam ipsam eum; Dicta voluptatem explicabo Doloremque aliquam'''
leanne_gibson_7140;73.0;51.1;'''Note: Dolorum non; then Dolorum sint''';'''(Quo itaque sed ducimus quia) ; Magni minus and Vel magnam'''
mandy_clark_2778;94.0;14.1;'''(Recusandae dolor eveniet) ; Voluptatibus inventore and Cupiditate ipsum''';'''Note: Eos quos; then Quasi cumque excepturi'''
miss_lee_8414;68.0;27.1;'''(Et dolores cupiditate tempora) ; Eaque sed tempora cupiditate corrupti and Illum earum odit minima animi''';'''Unde quis deleniti; Voluptatum exercitationem odit Vel voluptatum placeat vero culpa'''
jessica_harris_9992;46.0;90.1;'''Note: Iste fuga laudantium non; then Debitis animi quod saepe sunt''';'''Nisi architecto; Sapiente iste ab nostrum accusamus Blanditiis recusandae'''
dr_elliott_9086;66.0;15.1;'''(Voluptate) ; Aspernatur vitae voluptas excepturi and Numquam temporibus quae''';'''Note: Numquam unde molestias animi nemo; then Quam commodi fugiat at'''
dr_parry_3338;70.0;71.1;'''Note: Maxime; then Amet vel''';'''At mollitia sint nihil; At animi Voluptatibus sequi'''
jeffrey_bowen_0316;98.0;81.1;'''(Consectetur dolorum) ; Amet sequi molestias eos and Harum quidem illum rem tempore et''';'''Ut: Minima iste; Repudiandae minus aliquid voluptas'''
wendy_evans_9905;3.0;65.1;'''Note: Eum incidunt inventore; then Distinctio expedita soluta eligendi rerum''';'''Reprehenderit doloribus officia porro inventore; Adipisci repellat ; Earum aperiam'''
josh_collins_6572;5.0;;'''Note: Aliquam eligendi reprehenderit; then Cupiditate distinctio praesentium''';'''Note: Nulla assumenda iste; then Temporibus'''
ms_jones_0312;67.0;12.1;'''Sunt ea impedit; Velit ; Est ratione delectus odit''';'''Reiciendis laudantium nam exercitationem; Reiciendis deserunt corporis sit ; Repellendus doloremque'''
jane_francis_8852;90.0;53.1;'''Veritatis nesciunt occaecati; Expedita similique totam Consequuntur nostrum deserunt fugiat''';'''Iste facere; Eos eveniet aspernatur Molestiae iure'''
bernard_harris_9732;48.0;10.1;'''(Dolorum aliquid fugiat) ; Amet nostrum ea and Odit harum ipsa''';'''Ab omnis; Mollitia ; Sequi'''
roger_short_5208;68.0;32.1;'''Magnam repudiandae; Laboriosam incidunt hic earum ; Aspernatur ex''';'''Ipsum ipsa; Beatae accusantium ; Id'''
joel_thomas_5614;43.0;68.1;'''Quam; Assumenda aut Quod''';'''(Quas impedit inventore) ; Dolore eos ipsa and Quibusdam velit cum natus cupiditate facilis'''
joe_smith_9156;2.0;5.1;'''(Accusantium) ; Beatae and Cupiditate minima''';'''(Est earum minus esse) ; Ipsam accusantium vel possimus and Necessitatibus necessitatibus'''
jeremy_edwards_6464;62.0;42.1;'''Qui asperiores; Animi perferendis atque assumenda ; Nihil quam ad''';'''Veniam inventore accusantium ad magni ratione: Eaque quis; Vel recusandae'''
mrs_ferguson_2280;46.0;31.1;'''Dolores omnis quisquam: Quisquam soluta; Voluptate sapiente assumenda officiis neque possimus''';'''Ratione; Explicabo deserunt libero distinctio Cumque'''
samuel_bates_6266;29.0;74.1;'''Placeat ad suscipit delectus aspernatur; Aspernatur Dicta officia quas sunt iusto fugit''';'''Note: Voluptate repellendus ex consectetur placeat; then Dignissimos hic veniam fuga'''
