username,price,note
michael_ahmed_3539,68.0,"""Dolorum occaecati architecto eaque natus vitae; Explicabo unde distinctio ducimus , Earum"""
holly_dobson_6083,8.0,"""Nam rerum optio, Consequuntur voluptas necessitatibus dolores Quam ea corrupti molestias tempore"""
dr_robson_6025,55.0,"""Note: Itaque, then Impedit"""
toby_douglas_4585,81.0,"""Note: Dignissimos eaque veritatis, then Eum tenetur"""
dr_clark_0026,93.0,"""Note: Necessitatibus pariatur, then Nam fugit reprehenderit porro"""
rachael_armstrong_6821,65.0,"""Note: Saepe repellendus, then Minima voluptate nisi eaque quos"""
ms_stewart_3001,63.0,"""Iure ab expedita: Assumenda, Esse ab veritatis"""
graham_thomas_1580,15.0,"""Fugiat quo quo; Necessitatibus eaque magnam eligendi , Sed odit perferendis"""
dawn_pritchard_0508,69.0,"""Note: Alias non deserunt velit, then Hic facere dicta ipsa"""
nigel_hawkins_5826,100.0,"""(Consequatur magnam iure minus) , Incidunt error and Quo"""
miss_wright_1783,39.0,"""Dolor, Maxime perferendis Alias odit"""
rachel_harvey_7133,63.0,"""Note: Eligendi aspernatur, then Quis molestias"""
judith_welch_3428,3.0,"""Note: Eveniet delectus pariatur, then Atque"""
dr_johnson_4031,66.0,"""Tenetur; Ipsam accusantium nulla , Non facilis eveniet adipisci"""
nathan_kennedy_4864,94.0,"""(Similique exercitationem officia) , Impedit tempora fuga and Nesciunt consectetur sunt"""
wendy_bennett_1741,86.0,"""Vero repellendus; Necessitatibus inventore esse , Dolorem quia fuga"""
dr_storey_7101,53.0,"""Id, Est porro Dolorem"""
mohammed_george_9573,19.0,"""Note: Tenetur earum facilis neque, then Architecto unde"""
samantha_shepherd_7810,72.0,"""Dignissimos; Ullam , Suscipit"""
judith_martin_7396,43.0,"""(Dolorum necessitatibus nam) , Incidunt vel and Ipsa cupiditate assumenda commodi provident"""
philip_robson_2163,15.0,"""Inventore; Sed eum corporis , Assumenda"""
mathew_hayward_6789,12.0,"""Note: Dolores incidunt, then Quidem eligendi suscipit"""
mr_stewart_5728,21.0,"""Doloremque quae amet sed: Placeat error, Provident ea sapiente possimus"""
keith_foster_0287,89.0,"""(Ducimus) , Dolor sed and Distinctio laudantium ut"""
ms_fisher_8652,6.0,"""Itaque ut; Unde nisi est maxime dolores , Illum laudantium doloribus"""
dr_rogers_5098,82.0,"""Note: Illum quo quasi esse itaque error, then Molestias sapiente ab"""
lynne_saunders_3726,73.0,"""Quidem; Maiores molestiae tenetur maiores dignissimos ut , Veniam aliquid distinctio"""
luke_fuller_1259,,"""Delectus architecto, Perspiciatis odit inventore deserunt Dolore facere quos id"""
