username;total_count;description
ben_jones_5361;91.0;"""Itaque: Nostrum; Inventore voluptatum illo"""
dr_carpenter_1524;43.0;"""Voluptatem explicabo sapiente quam; Dolores tenetur Repellendus numquam"""
ms_ellis_0989;79.0;"""Note: Minima nam; then Occaecati"""
russell_kay_1694;71.0;"""Note: Earum doloremque itaque nobis sequi; then Voluptatibus"""
dr_mitchell_0951;51.0;"""Inventore asperiores eligendi fugit; Optio quae ; Nobis quas"""
lydia_moore_2458;54.0;"""Minima explicabo fugiat soluta tempora; Iste Molestiae amet facere dolorum"""
bryan_fleming_8704;14.0;"""Assumenda delectus minus unde dolores; Itaque laboriosam voluptas Quae reiciendis doloremque perspiciatis"""
marion_clarke_6346;73.0;"""Illum necessitatibus; Sed ; Est"""
sharon_cross_1530;75.0;"""Ea perferendis nobis; Necessitatibus repellendus occaecati natus ; Recusandae quam maxime nisi doloribus sint"""
geraldine_johnson_8988;;"""Unde recusandae consectetur accusantium sunt minima veritatis: Unde velit ullam; Et et possimus"""
julia_green_5801;68.0;"""Fugiat cupiditate nemo: Veniam quia distinctio; Quod aperiam"""
lauren_taylor_6878;95.0;"""Tempore quas sint veritatis doloribus; Optio ad ea optio ; Voluptas ipsum"""
frances_dunn_6413;50.0;"""Iure sequi voluptates molestias enim; Architecto qui Quis optio ipsa"""
mr_williams_0557;89.0;"""(Sapiente hic laudantium) ; Quo praesentium omnis ipsum and Eligendi possimus eum aperiam"""
john_walker_4627;81.0;"""Iure esse tempore consectetur aperiam a: Sunt magnam necessitatibus; Excepturi quam"""
mr_long_2191;36.0;"""Voluptates quaerat culpa: Veritatis rem error velit est; Modi inventore numquam"""
heather_richardson_6932;23.0;"""(Quod delectus) ; Perspiciatis facilis and Voluptas"""
mr_vincent_5154;29.0;"""Repudiandae hic necessitatibus nobis; Eius fuga ; Reiciendis ab"""
charlie_fletcher_1464;97.0;"""(Deleniti inventore repudiandae labore) ; Ab dolores dolorum and Voluptatum ex"""
amber_robertson_3267;52.0;"""Eveniet illum; Cum incidunt ; Blanditiis"""
emma_smith_1043;37.0;"""Quasi: Repudiandae laborum; Debitis"""
ronald_thomas_3452;70.0;"""(Quia vitae quidem) ; Laborum odio aut minus and Placeat"""
donald_carroll_9516;33.0;"""(Tenetur) ; Ducimus nesciunt culpa sit pariatur and Totam voluptas iure"""
jade_turner_1161;44.0;"""Note: At veritatis excepturi a; then Earum maxime autem"""
mr_payne_9213;13.0;"""Animi dolores facilis accusantium ullam; Quae minus omnis officiis vitae ; Eum voluptate quae"""
nigel_banks_8448;29.0;"""(Excepturi commodi incidunt quam ratione dignissimos consequatur) ; Repellendus alias and Animi laborum nulla"""
dr_mckenzie_2664;83.0;"""Placeat: Aperiam nisi; Magnam nesciunt porro"""
mrs_harris_8373;85.0;"""Cumque nam odit: Eveniet voluptatibus tenetur ex dolore repudiandae; Quia nulla repellat"""
julian_wilson_2771;28.0;"""Quas non repellat veniam harum; Veritatis laudantium ; Nemo pariatur qui odio"""
mr_baxter_7044;13.0;"""Tempora; Labore architecto reiciendis Consequatur recusandae officia"""
dr_kelly_1212;69.0;"""Enim maiores impedit animi aperiam excepturi; Numquam ; Sit magni corporis officiis velit"""
brett_williams_2057;62.0;"""(Praesentium corporis facilis reiciendis quaerat) ; Voluptates sint nesciunt and Rerum aliquid ipsum ullam repellat nobis"""
ms_stokes_3939;87.0;"""Cum culpa; Quia reprehenderit voluptas Sequi officia necessitatibus"""
mr_rice_5195;36.0;"""(Facilis veniam) ; Occaecati aperiam architecto and Ad perferendis adipisci culpa laboriosam dignissimos"""
nigel_richards_1507;8.0;"""Aut aliquid animi delectus quis cupiditate; Libero architecto ; Vel iure ipsum"""
irene_chandler_7164;17.0;"""Quasi; Dignissimos vero ; Neque"""
dr_metcalfe_2748;20.0;"""Totam impedit adipisci; Mollitia voluptatibus ; Rem veritatis dicta"""
vincent_franklin_2753;82.0;"""Note: Tenetur culpa sed; then Perspiciatis maxime"""
