username	price	rating	summary	description
dr_jackson_4573	93.0	42.1	"""Doloribus ad qui: Voluptas illum	 Recusandae explicabo autem"""	"""Note: Ab perspiciatis minima quas	 then Assumenda"""
dr_harris_7506	77.0		"""Note: Quibusdam optio ea	 then Quod"""	"""(Libero placeat repudiandae asperiores nisi) 	 Illum laudantium and Doloremque dolores repellendus eum iusto quasi"""
rosemary_hudson_6587	70.0	18.1	"""Note: Eos	 then Eaque totam"""	"""(Tenetur) 	 Ducimus ad incidunt commodi occaecati and Deleniti magnam iusto quam mollitia"""
arthur_hall_6259	83.0	90.1	"""Ea	 Repellat natus nisi Beatae optio labore veritatis tempore"""	"""Voluptates soluta dolor aspernatur illum	 Autem Culpa itaque"""
dr_parker_2069	71.0	72.1	"""Mollitia cum	 Pariatur voluptatem Quam delectus repellendus impedit fugiat"""	"""Eos voluptatibus	 Reprehenderit Reiciendis odit cum"""
ryan_watson_1267	74.0	15.1	"""Nihil pariatur commodi asperiores optio: Ea esse totam recusandae hic veniam deserunt	 Incidunt voluptates corporis temporibus et"""	"""Incidunt officiis magnam	 Nihil Ea saepe"""
elliot_harris_9611	12.0	25.1	"""Delectus: Aspernatur porro saepe	 Natus rerum nemo"""	"""Ut exercitationem saepe impedit placeat	 Occaecati aliquam reiciendis quis Praesentium asperiores suscipit dolore ipsum"""
jay_hicks_9775	82.0	45.1	"""Enim sequi libero sed est; Exercitationem voluptatem 	 Nam"""	"""(Praesentium error voluptate dolorem sit quaerat) 	 Velit in alias accusantium quas and Corrupti blanditiis placeat eveniet quae odio"""
mary_moss_6539	98.0	7.1	"""Note: Quas iusto	 then Recusandae iusto"""	"""Iste maiores molestiae tenetur molestias repudiandae; Pariatur cupiditate laborum cum neque nulla 	 Quas totam eaque possimus"""
louise_morgan_2237	60.0	93.1	"""Facilis voluptatum sapiente libero	 Amet Totam corrupti ex repellat sapiente"""	"""Note: Alias id	 then Dolorem eum minus in"""
geraldine_cartwright_6843	12.0	88.1	"""Eveniet repellendus a nulla; Accusamus pariatur similique neque 	 Neque enim saepe"""	"""Laborum alias: Consequatur ipsa delectus saepe	 Ducimus iure"""
miss_smith_1833	95.0	22.1	"""Fuga doloremque voluptatem atque dolorem	 Excepturi vero Voluptates officiis quis"""	"""(Rem nisi dolorum recusandae) 	 Exercitationem perferendis in debitis and Saepe necessitatibus"""
mrs_cunningham_7406	25.0	100.1	"""(Alias ab laboriosam) 	 Dolores aspernatur and Asperiores tenetur vero"""	"""Note: Doloremque voluptatibus laborum molestias fugiat	 then Voluptatibus quia"""
kerry_palmer_5742		64.1	"""Quis debitis quam; Unde 	 Quam voluptates unde"""	"""Id quasi aliquid; Similique est distinctio 	 Quibusdam harum"""
allan_jones_0286	91.0	85.1	"""Sit laudantium repudiandae alias	 Blanditiis nemo quibusdam ipsa Praesentium"""	"""Doloribus animi ad; Voluptates itaque 	 Voluptatem iusto dolore illum odit"""
edward_barton_1240	7.0	63.1	"""(Facere corrupti eos sunt suscipit) 	 Ea nesciunt and Excepturi nam modi neque"""	"""Mollitia incidunt consectetur	 Recusandae doloribus explicabo unde consequatur Non optio delectus quae consequuntur possimus"""
toby_edwards_3193	40.0	33.1	"""Note: Veniam sit	 then Dolorem"""	"""Animi officiis ducimus quas atque	 Harum cupiditate Maxime molestias"""
jason_smith_2742	85.0	38.1	"""Ducimus enim voluptates totam odio recusandae	 Quia perferendis dicta Excepturi"""	"""Doloremque quos ipsam unde ex suscipit	 Quaerat placeat ex animi Provident in"""
adam_gallagher_2608	40.0	44.1	"""(Corporis alias) 	 Voluptates and Excepturi facilis blanditiis"""	"""Ea quaerat eius nam: Sed sunt delectus voluptas voluptatem porro quisquam	 Quis veniam"""
denis_kennedy_3654	22.0	31.1	"""(Accusantium impedit omnis animi nisi) 	 Repellendus facilis quidem vel nesciunt and Atque magni iure quisquam eum"""	"""Deserunt qui	 Alias labore Magnam"""
