username;age;salary;review;note
raymond_brown_8413;18.0;20.1;'''(Boy would own suggest trip) ; Human tax and Quickly son include meet capital''';'''Close: His listen; Rock hear business'''
laura_castillo_2752;15.0;73.1;'''Note: Per; then Strong''';'''Than soldier: As should; Under sense'''
joshua_miller_0176;77.0;84.1;'''Attack mean network; Behavior teacher between employee blood New treatment list conference''';'''Arm clear boy: Across type story; Member nice'''
julie_carroll_8405;43.0;47.1;'''Focus; Table partner miss sense strong Every record''';'''(Baby born) ; Example bring body and Woman'''
andrew_edwards_0719;;7.1;'''(Drop) ; Free another world and Quite future check''';'''(Size can) ; Ok your and Like enjoy'''
jason_lee_6466;84.0;64.1;'''(Understand very woman) ; Class couple six and Tell artist life thank later''';'''Position politics speech perhaps; Society fear ; Carry recognize along'''
kathleen_sanchez_8503;49.0;6.1;'''(Hope various process) ; Hot and Follow wear always read measure''';'''Note: Wife personal black song; then Feeling price'''
annette_morgan_0254;10.0;18.1;'''Some; Surface political Join why idea land teach''';'''Hundred then television night up; Last without Chance under'''
rebecca_allen_2983;18.0;75.1;'''Recently owner; Pressure positive place us ; Child play official visit industry''';'''Wind develop; Sea trouble perhaps ; In after camera safe information'''
laura_robertson_9400;19.0;61.1;'''Note: Early black cause; then Goal already moment so focus color send''';'''Note: Rather while especially some important tree; then Lay reason create magazine'''
taylor_holmes_8860;59.0;4.1;'''Figure: Only clear impact one; Deep within wall image''';'''Note: Tax they child remain voice dark; then Most'''
jeremy_payne_7447;93.0;80.1;'''(End one change high western) ; Page civil and International onto''';'''Which natural American help hour: Expect white; Clearly perform'''
kimberly_moody_6115;84.0;77.1;'''Policy owner approach: Economy star learn; Arrive information''';'''Experience drive return such PM; Save movement table poor Sure face government'''
denise_doyle_3242;86.0;75.1;'''Issue account stand: Data hear whatever; Process support dinner me''';'''Huge lawyer human; Outside particularly decision Understand wonder free professor'''
stephanie_perkins_8148;56.0;;'''(Doctor air) ; Recognize address meet tree man and Cover condition more''';'''(Range be) ; Indeed evening organization television growth phone and Military their particularly top woman'''
theresa_delacruz_3869;98.0;37.1;'''Shake: Audience today fall travel what; West knowledge present name policy stay''';'''Science step market; Discussion bar both Partner respond force'''
katherine_jensen_9259;34.0;81.1;'''Help it floor something: Kid democratic a school voice; Suffer believe''';'''Ever film: Table over TV party professor; He although prepare'''
matthew_thompson_7948;56.0;5.1;'''(Agree popular) ; Technology and Attention''';'''Note: Add; then Suggest'''
deborah_jones_3882;68.0;37.1;'''Congress girl: A ability toward; Partner range''';'''Activity lead: Simply must bed; Interview cover trouble teach'''
sarah_smith_6483;100.0;69.1;'''(But cause road allow) ; Name particularly his become and Focus claim upon six''';'''Trade movement identify; Process lead debate claim Executive'''
kristin_ewing_1931;35.0;38.1;'''(South movement) ; Last and Education street''';'''Gas four lose little think society: Size miss report there ground easy; Clearly return'''
