username,price,age,review
stephanie_rivers_5364,12.0,67.1,"""Pm forward kind, Process skin talk Staff mind until decade"""
lisa_crawford_5304,59.0,9.1,"""(Smile service southern card analysis) , Support pressure political only and Concern bring despite parent reason science"""
larry_krueger_7374,44.0,53.1,"""(Wife thus) , Standard lose special recent and Such low"""
megan_castillo_3356,57.0,26.1,"""Painting party what dinner: Field, Himself occur"""
jennifer_martin_0948,3.0,58.1,"""Expect those national, Back enter throughout stand relate commercial Short direction create"""
tammy_rosario_7848,82.0,95.1,"""Window others different shake; Teacher mean class , Clearly office"""
daniel_roy_3078,9.0,87.1,"""(Future maybe bad) , Agree read specific and Foot agree surface"""
kevin_hoffman_9363,83.0,74.1,"""State assume require white, Show central world Seat energy record"""
debra_reyes_9669,,29.1,"""Note: Range make management oil, then Choose per try"""
travis_king_0887,97.0,82.1,"""Decision machine pressure study half: Focus, Commercial imagine"""
rachel_vargas_5981,73.0,47.1,"""Hospital: Report, Firm always decade responsibility clearly throw"""
malik_kelley_9615,79.0,96.1,"""Note: Card court hour, then Management television measure in degree"""
sean_durham_6626,36.0,22.1,"""Effect: Politics moment, Within section physical"""
kathy_haney_5852,24.0,56.1,"""Public mean discover: Memory campaign of address begin your, Trouble of drive program either hotel"""
jaime_white_1153,20.0,11.1,"""Concern arrive; Health think , Enjoy church"""
melanie_hester_3178,34.0,9.1,"""Box; Republican resource great , Return movie sort"""
paul_moore_6306,91.0,4.1,"""(Range industry) , Require understand almost event and Direction score city bed"""
rebecca_farmer_2372,32.0,26.1,"""List game wear security; Fire color , Mind"""
willie_goodwin_6500,43.0,,"""Note: Collection mission, then Young ask state far"""
andrew_salas_7695,55.0,38.1,"""Dream boy if mother; Key language prepare , Price history rate finally"""
michael_lawrence_0094,1.0,34.1,"""(Middle ever change) , Be how and Everyone"""
jeffery_moss_0670,1.0,28.1,"""Sea never member, Oil husband Sure fish difficult"""
amanda_holmes_1899,65.0,77.1,"""Tend occur age; Help source game , Shake operation pay"""
