username;salary;price;total_count;summary;description
sally_willis_2242;15.0;100.1;58.2;"""Nihil error; Distinctio repellat commodi Reiciendis quibusdam earum officiis""";"""Note: Magni; then Maxime odio sequi"""
ryan_young_1720;29.0;34.1;34.2;"""Repellendus; Rerum dolorum ; Tempora enim iure ipsam""";"""Doloribus omnis totam iste; Aliquid quas ; Recusandae"""
debra_reid_0590;52.0;93.1;99.2;"""Adipisci eius eius; Tenetur nobis ; Nesciunt eaque""";"""Note: Quod expedita occaecati id; then A voluptatem"""
joyce_webb_1166;62.0;73.1;90.2;"""Similique voluptates; Est ; Maxime""";"""(Veritatis ducimus ea beatae) ; Aperiam eos facere nostrum and Perferendis harum officiis recusandae earum repellendus"""
dr_gregory_4103;82.0;17.1;80.2;"""(Vero possimus corporis) ; Laborum necessitatibus doloremque dolorem and Nihil perspiciatis illum""";"""(Officia quaerat molestias) ; Praesentium placeat architecto and Eaque illo quos optio sint"""
frank_storey_8238;51.0;37.1;19.2;"""Culpa alias sunt unde ad; Quibusdam nulla nesciunt omnis ; Sapiente laborum accusamus eius voluptatum""";"""Note: Minus est; then Laborum repudiandae"""
elizabeth_smart_6103;18.0;11.1;60.2;"""Note: Ducimus repudiandae; then Rerum magnam adipisci""";"""Quis fugit; Eius magnam temporibus eaque Dolor tempore pariatur eos beatae iste"""
reece_rowe_0141;65.0;31.1;;"""Odit dicta nam: Rem placeat; Suscipit maxime ducimus""";"""(Commodi temporibus) ; Nobis ratione nulla and Libero explicabo doloribus sunt"""
amelia_reed_2144;60.0;18.1;82.2;"""Note: Error; then Laborum explicabo sapiente consequatur similique""";"""Cumque; Soluta sed autem architecto incidunt maiores ; Esse eum quo"""
barry_bartlett_5851;8.0;7.1;74.2;"""Note: Sunt veritatis culpa; then Rem""";"""Note: Recusandae aut quia; then Suscipit a fuga"""
sam_white_2840;89.0;73.1;73.2;"""Voluptates nulla veritatis; Quasi quidem eum quas Consequuntur doloremque""";"""(Exercitationem minus consequatur) ; Quas dolorum nemo optio and Ullam asperiores"""
graham_jenkins_6403;72.0;57.1;58.2;"""Consectetur; Quasi maiores voluptate excepturi totam ; Accusantium""";"""Culpa ex; Nam alias cumque qui at ; Voluptate"""
stephen_hodgson_0709;72.0;1.1;62.2;"""Aliquam doloremque tenetur; Enim inventore numquam neque temporibus ; Quos reprehenderit iste""";"""Eaque ea maxime; Vel Sit sint odio voluptas quas"""
sandra_chambers_1252;61.0;40.1;29.2;"""Laborum delectus; Molestias saepe ; Occaecati quod aperiam consequatur""";"""Tenetur saepe: Aut; Nam eius illum"""
harriet_smith_8019;50.0;98.1;26.2;"""Molestias rerum mollitia; Doloribus itaque ullam saepe doloribus ; Qui quas""";"""(Assumenda tempore) ; In aperiam and Exercitationem error hic ullam tempora"""
