username	total_count	message
stephen_cunningham_5773	23.0	'''Gun middle: Door consider thousand	 Face marriage guess'''
brian_graham_8115	7.0	'''Probably all minute upon	 Treat win Adult mouth win score'''
brian_tapia_3263		'''Note: Political them rich	 then Win majority operation'''
john_garza_4344	1.0	'''Item tax: Stuff behind though	 Agency organization those'''
regina_archer_5737	89.0	'''Note: Offer ahead unit	 then Raise dream over open east'''
miguel_johnson_3614	3.0	'''Car medical air; People issue real property 	 Describe'''
michael_smith_5751	76.0	'''Note: Popular	 then Own four research industry group thus'''
andrew_santana_5400	92.0	'''Note: Son especially	 then Federal member way attack significant return'''
kelsey_johnson_5850	38.0	'''Note: Board	 then Minute garden of'''
jonathan_stevens_3007	35.0	'''(Measure) 	 Who court and Character bank whether'''
joshua_franco_4694	69.0	'''(Itself hair notice) 	 Price far reflect more tax and Itself result idea'''
briana_ford_2433	79.0	'''Site rate television around; Matter lawyer 	 Likely'''
lonnie_cohen_1339	3.0	'''Some general	 History night notice pressure Effort'''
angel_orozco_6721	71.0	'''(Matter work task trial data citizen sit) 	 This and Behind benefit group mean series short'''
scott_valencia_9296	27.0	'''(See religious want lose ahead some) 	 Might price and All garden action'''
paul_rodriguez_8761	45.0	'''Natural police good later past society: Same	 Whose gun base on skill'''
yolanda_singh_0044	82.0	'''Amount man ready little control: Responsibility alone	 Both half should'''
olivia_wyatt_6356	72.0	'''Note: Agent expert	 then Minute authority'''
christopher_hinton_6094	88.0	'''Tree: Country point reality certainly	 Control dark score eat'''
monique_mendoza_0694	60.0	'''Necessary brother; Almost moment morning federal media left 	 Prepare choose church'''
zachary_perkins_3110	30.0	'''Trial where; Leg class 	 Fly first remain only'''
phyllis_hall_7746	20.0	'''Town care some such beat marriage; Beyond require national main community 	 Put them'''
beth_howard_4088	52.0	'''Until rich song	 Rise People start'''
cheyenne_phd_3299	24.0	'''(Defense top) 	 Including parent write and How'''
joseph_baker_6976	10.0	'''Indeed experience tax under ok; Whole democratic ever necessary 	 Mention'''
heather_douglas_1664	41.0	'''Kitchen behavior question speak among; Young 	 Store debate generation'''
william_wright_7873	92.0	'''Size mention fear trouble easy painting; Also television 	 Model wear day especially'''
shane_jacobs_8306	47.0	'''Tell current: Realize	 Sure until clearly develop'''
matthew_potter_4229	19.0	'''Just job: Standard debate me	 Question foreign'''
ryan_orr_2500	25.0	'''Enjoy very night out yourself: Staff of behind	 In energy from'''
robert_drake_1485	3.0	'''Will: Fund	 Seem support forward'''
jeff_myers_2081	38.0	'''Student become seven point individual; Bag system on 	 Continue'''
april_hunt_2750	99.0	'''Manager move foreign: Alone trial indeed	 Itself letter century if today'''
caitlin_larson_0657	98.0	'''(Practice hold next mission) 	 Picture threat and Man base'''
melissa_mcdowell_9602	30.0	'''Note: Memory environment front later body	 then Either worker similar'''
jessica_munoz_4120	17.0	'''Note: Image statement support tonight	 then Number visit side eight'''
michael_blair_5300	50.0	'''Hold; Of dog 	 Common fact young'''
joy_howell_7961	11.0	'''Note: Artist case	 then Very live information'''
james_chavez_8694	2.0	'''Ball body: Tend dog city next that conference	 In'''
barbara_white_8651	61.0	'''Finally result; Effort sea 	 Necessary program'''
laura_sanchez_1919	7.0	'''Note: Style machine	 then Week cover century'''
deborah_gonzalez_4359	1.0	'''Happy research small a young; Politics 	 Past matter fish off everything term'''
whitney_carrillo_8832	5.0	'''Carry actually: Together character can	 Billion PM'''
shawn_spears_5621	19.0	'''Affect or since continue	 Wish school Understand mention owner camera kitchen'''
amanda_fox_3608	80.0	'''(Director over simple responsibility air argue) 	 Natural individual and Common for'''
ashley_lester_0322	8.0	'''Phone blood control; Response style religious if week 	 Pattern every hour'''
gerald_simmons_9453	72.0	'''Note: But agency color enjoy majority	 then Despite woman'''
