# This is a comment line to skip
username	rating	description	comment
charles_boyle_8274	8.0	"""Use	 Number discussion whole class suddenly Start now arm may deep"""	"""Note: Pass meet since month	 then Source so a art whatever tough"""
douglas_williams_5265	10.0	"""Heavy develop information why perhaps: Else administration police	 Themselves production difference language current"""	"""Front along decide push: Out	 Upon pick week"""
samantha_gregory_4402	53.0	"""Note: Government also apply	 then Nothing tax"""	"""(Skin somebody knowledge increase) 	 Trial identify chance account and Kind"""
amanda_gardner_1819	25.0	"""Chance if sometimes long	 Imagine blue trial Write meeting easy"""	"""(Especially) 	 Program in and Cause bill thus suffer"""
kevin_perez_0204	84.0	"""Get argue find: Toward bring letter	 Admit current ever sea"""	"""Note: Laugh stay perhaps	 then Perhaps hit"""
kristin_brady_5447	15.0	"""View exist sister choice while newspaper; Food item measure 	 Force"""	"""Enter its individual ground	 Easy effect Everyone dream"""
chelsea_brown_7413	61.0	"""Senior cover; Certain statement wide 	 Other human onto"""	"""Note: Quite yeah clear	 then Peace federal particularly job line"""
chloe_baker_1246	11.0	"""Performance occur second again: Report put enough meeting a mind	 Already tonight through"""	"""Reveal someone organization activity store: Even course	 Him maintain project paper"""
pamela_li_3419	11.0	"""Election father	 Like garden particular often special Century country vote"""	"""(Carry pick soon material both) 	 Pm and Too foreign huge manage"""
raymond_whitehead_8630	75.0	"""Rise shake: Life easy meeting energy along	 Friend place audience day care"""	"""Note: Hotel hand despite determine	 then Head someone skin"""
christine_howard_5980	41.0	"""Note: Carry	 then Southern wife smile"""	"""Note: Recent main method trouble	 then Question sure quality"""
edward_scott_7728	57.0	"""Allow environmental two: Evening security	 Medical party nor available"""	"""Note: Rest level protect	 then Statement too affect million"""
erin_oliver_5315	47.0	"""Note: Movement government	 then Store some"""	"""Nearly people good member; Water room 	 Reality you too"""
mr_monroe_4012	57.0	"""Pick performance	 Remain manage federal Near free throughout"""	"""(Such field) 	 Away week rather memory and New cost"""
katherine_medina_7507	62.0	"""Note: Note	 then Appear thought summer man play spend"""	"""Morning stay: Seem ground grow modern health among	 Force trouble pattern"""
dr_miller_9577	100.0	"""Example: Experience think military	 Hope coach religious"""	"""(Result news trip) 	 Right little add everyone other and Drop speak interesting"""
