# This is a comment line to skip
username;score;remark
julie_white_4102;65.0;"""Television president PM; Yes total ; Five imagine hotel away"""
james_james_6365;88.0;"""Store law: Factor voice part; Leg policy final economy within"""
frederick_jordan_3674;26.0;"""Use generation main; Hospital big your Assume already someone political his"""
kevin_bishop_9830;35.0;"""(Dog page) ; Vote and Adult blue per"""
james_white_4266;84.0;"""Machine participant body: Eight; Economy theory"""
jenny_reid_5504;91.0;"""(Between) ; Make song hour simply and More record"""
eric_olson_7613;48.0;"""Note: Federal happy respond; then Thousand TV method lawyer"""
david_wilson_8172;30.0;"""Loss should thing keep: Not price; Large"""
karen_barry_5248;52.0;"""(Smile realize) ; Community end mean and Each moment"""
lauren_thomas_0324;41.0;"""Difficult risk: Happy wide; Drive image"""
elizabeth_frost_4390;44.0;"""Note: Nearly my; then Common hotel really hit"""
johnny_cantrell_4397;41.0;"""Finish project: House deal; Must nation six network popular"""
greg_jones_7402;86.0;"""It director: Represent; Partner career body"""
miss_weaver_6059;62.0;"""Star: Mind worry make; Forget deal enjoy their go"""
ian_wallace_0541;92.0;"""(Than) ; Maintain also health specific capital and Treat imagine"""
louis_wright_0107;7.0;"""Note: Night reason open; then Treat reach so treatment before"""
dr_wong_5570;77.0;"""Attack: Author election; Trouble reach less technology child"""
ryan_arnold_3654;37.0;"""Note: Yeah discover; then Such hundred"""
paul_benitez_1046;68.0;"""Note: Media crime; then Since enter mouth"""
jeffrey_townsend_8704;99.0;"""Write: Science political; Everything how far person all push"""
phyllis_franklin_1587;22.0;"""Kind; Couple evening ten ; Feel positive fly word cost"""
lori_howard_3030;20.0;"""Possible; Although piece each site Off"""
william_jones_5974;58.0;"""Note: Decision player camera coach; then Article whose"""
timothy_castro_9789;;"""(Personal TV medical) ; Chair carry season develop race religious and Not particularly effort participant today"""
barbara_alvarez_4840;1.0;"""Note: Condition each source benefit; then Nearly alone understand"""
lindsay_nichols_0073;99.0;"""Raise north; Data chance Now itself specific"""
elizabeth_brady_4823;15.0;"""(Particular help yeah) ; Feel cause south suddenly Democrat and Water"""
jill_williams_4481;32.0;"""(Travel them may) ; Popular do and Human court job"""
john_alvarez_1619;66.0;"""Its machine explain suggest: Officer air; Cell natural already food no approach"""
carlos_baldwin_9689;87.0;"""Note: Represent boy; then Car physical"""
jessica_smith_3596;61.0;"""Religious poor site little note; Spend seem ; Fight ever firm blue instead close"""
michelle_richardson_9407;30.0;"""Note: Above; then For born just"""
jessica_hayden_8037;13.0;"""New science small: Reduce action south; Away sister employee"""
andrew_jordan_8257;68.0;"""Century yet mind investment may: Democratic history bit program clear; Agreement necessary woman glass every"""
julia_alvarez_1914;86.0;"""Late buy sometimes option; Defense network politics ; Specific national"""
carlos_king_3290;35.0;"""Station front something: Community the suddenly word; Million seat"""
